# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150	err_150
350.5	1.966310e-05	2.205292e-05	2.274652e-05	1.444615e-05	1.523670e-05	1.587809e-05
400.5	-1.054120e-05	1.782206e-05	1.569359e-05	1.144843e-05	7.282756e-06	1.345704e-05
450.5	1.731377e-05	1.352450e-05	3.677105e-07	9.009207e-06	-8.129466e-07	1.027857e-05
500.5	-4.764454e-06	1.111650e-05	-1.224148e-05	7.110162e-06	-1.442884e-07	7.463630e-06
550.5	-1.917529e-05	1.016571e-05	3.899343e-06	6.344162e-06	2.325604e-06	7.065338e-06
600.5	-7.516260e-06	1.011690e-05	-7.867740e-06	6.307143e-06	-3.638071e-06	6.843000e-06
650.5	1.134490e-05	1.041722e-05	1.248376e-06	6.583613e-06	1.158283e-06	7.300977e-06
700.5	7.141462e-06	1.006663e-05	4.193922e-06	5.897322e-06	8.928877e-06	6.684219e-06
750.5	6.570378e-06	8.152273e-06	-2.030040e-06	5.243338e-06	6.941258e-07	5.452873e-06
800.5	-6.747454e-07	7.217386e-06	7.261032e-06	4.398665e-06	-1.403699e-06	4.672552e-06
850.5	2.917857e-06	6.985056e-06	2.823574e-06	3.879509e-06	-1.654450e-09	4.246605e-06
900.5	1.424463e-05	7.008212e-06	4.420609e-06	3.870075e-06	4.482625e-06	4.518713e-06
950.5	-5.113339e-06	7.023481e-06	2.085447e-07	4.074976e-06	-1.145209e-06	4.325818e-06
1000.5	5.009351e-06	6.997393e-06	5.173599e-06	3.748202e-06	1.160302e-06	4.162496e-06
1050.5	-1.442558e-08	6.396991e-06	3.033824e-06	3.537702e-06	3.177862e-06	4.180153e-06
1100.5	8.876351e-06	6.257391e-06	6.747628e-06	3.233745e-06	5.746907e-07	3.474841e-06
1150.5	5.151819e-07	5.810711e-06	1.084985e-06	3.143664e-06	3.902160e-06	3.176387e-06
1200.5	1.372644e-05	5.735241e-06	8.467631e-07	3.145043e-06	1.171047e-06	3.268592e-06
1250.5	-9.612911e-06	5.556914e-06	-2.602554e-06	3.270312e-06	-4.112972e-06	3.244556e-06
1300.5	-9.843117e-06	5.622625e-06	-5.788505e-06	3.064502e-06	-1.785234e-06	3.212703e-06
1350.5	-9.318272e-06	5.491583e-06	2.858249e-06	3.074483e-06	-3.462919e-06	3.151412e-06
1400.5	3.325296e-06	5.608843e-06	-2.863014e-06	2.766250e-06	3.211868e-06	2.852025e-06
1450.5	-2.527899e-06	5.120731e-06	-5.128827e-07	2.652436e-06	3.639273e-07	2.747924e-06
1500.5	3.556328e-06	5.130178e-06	4.229469e-06	2.714830e-06	-3.150329e-07	2.707356e-06
1550.5	-8.870310e-06	5.025771e-06	-1.809761e-06	2.509151e-06	-1.969806e-06	2.650715e-06
1600.5	9.022670e-07	5.052255e-06	-1.428371e-06	2.569022e-06	2.858712e-06	2.605319e-06
1650.5	5.356659e-06	4.998541e-06	-1.328635e-07	2.508230e-06	5.894730e-07	2.580628e-06
1700.5	-1.510677e-06	4.884282e-06	3.492805e-06	2.481716e-06	-3.923851e-06	2.517968e-06
1750.5	4.604391e-06	4.799775e-06	3.957028e-07	2.427215e-06	1.213943e-06	2.401726e-06
1800.5	2.266722e-06	4.820366e-06	1.050966e-06	2.387925e-06	-8.765852e-07	2.378795e-06
1850.5	-4.420043e-06	4.903044e-06	-2.755996e-06	2.380761e-06	1.188857e-07	2.400003e-06
1900.5	-3.704599e-06	4.774370e-06	5.475314e-06	2.374965e-06	-3.381996e-06	2.345592e-06
1950.5	5.565135e-06	4.886592e-06	-7.189724e-07	2.349362e-06	-1.099209e-06	2.320610e-06
2000.5	2.955054e-06	4.979935e-06	2.019279e-06	2.266019e-06	8.210288e-07	2.219316e-06
2075.5	-1.201848e-06	3.361839e-06	-1.071405e-06	1.615294e-06	-9.426481e-07	1.515552e-06
2175.5	-6.347050e-07	3.249272e-06	1.085954e-06	1.602606e-06	-1.861455e-06	1.520743e-06
2275.5	-1.142868e-06	3.174273e-06	-1.844633e-06	1.621518e-06	9.004374e-07	1.520704e-06
2375.5	-1.225117e-06	3.466096e-06	1.001054e-06	1.637436e-06	2.322900e-06	1.392894e-06
2475.5	-7.727628e-06	3.525110e-06	-3.725017e-06	1.575760e-06	-1.671606e-06	1.455708e-06
2625.5	-1.537464e-06	2.571595e-06	-1.907426e-06	1.084241e-06	-5.056964e-07	1.017588e-06
2825.5	-1.678641e-06	2.603889e-06	-3.724318e-07	1.136225e-06	-1.161203e-07	9.734844e-07
3025.5	-1.713492e-07	2.662026e-06	-1.782432e-06	1.186204e-06	2.629064e-06	9.774798e-07
3325.5	-3.355644e-07	2.148373e-06	1.721545e-06	8.425717e-07	5.318937e-07	7.008168e-07
3725.5	1.212828e-06	2.399032e-06	-9.139049e-07	9.295124e-07	-3.364927e-10	7.050825e-07
4125.5	7.120355e-08	2.710906e-06	6.245274e-07	1.010899e-06	1.221360e-06	7.564291e-07
4525.5	7.964407e-07	3.665416e-06	-6.339607e-07	1.200473e-06	-1.972254e-06	9.330907e-07
4925.5	4.605578e-06	4.519546e-06	-1.557908e-06	1.542506e-06	6.434518e-07	1.000426e-06
5325.5	-4.923389e-06	5.297960e-06	2.841240e-07	1.628910e-06	7.667865e-07	1.062003e-06
5725.5	3.248832e-06	6.383844e-06	3.410483e-06	1.863213e-06	-1.318578e-06	1.105763e-06
6125.5	-6.190358e-06	7.959740e-06	-2.740806e-06	2.231280e-06	1.647704e-06	1.190519e-06
6725.5	1.432523e-05	9.197498e-06	-2.493626e-06	2.185846e-06	9.415028e-07	9.993826e-07
7525.5	1.931924e-05	1.702024e-05	7.529116e-07	3.334191e-06	-1.634926e-06	1.348254e-06
