# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150x98	err_150x98	Cl_150	err_150
350.5	4.305592e-04	2.747796e-04	-8.513771e-05	2.083018e-04	3.249828e-04	4.047547e-04	-2.444336e-04	3.121130e-04
400.5	2.347097e-04	1.732581e-04	-1.754488e-05	1.328283e-04	1.633768e-04	2.648854e-04	-7.484066e-05	2.171617e-04
450.5	-2.676410e-05	1.377446e-04	1.584785e-05	1.020239e-04	1.249306e-04	1.977318e-04	-6.336379e-05	1.618498e-04
500.5	1.813315e-04	1.186738e-04	2.237384e-05	9.080309e-05	1.508197e-04	1.609635e-04	-1.323448e-04	1.284267e-04
550.5	1.326215e-04	9.697796e-05	6.628819e-06	7.394190e-05	2.119193e-04	1.269645e-04	3.440906e-05	9.956464e-05
600.5	-4.589471e-05	8.263373e-05	7.219308e-05	6.084630e-05	-1.178099e-04	1.066753e-04	1.053349e-04	8.429705e-05
650.5	-1.011996e-04	6.794289e-05	4.445240e-05	4.837150e-05	1.467598e-06	8.713392e-05	2.075280e-05	6.404852e-05
700.5	-5.326794e-05	5.483014e-05	-2.929375e-05	4.358715e-05	-1.001537e-04	7.137038e-05	-1.437127e-04	5.537429e-05
750.5	9.414094e-05	5.444710e-05	2.552055e-05	3.887822e-05	2.817324e-05	6.559773e-05	5.261419e-05	4.805012e-05
800.5	-2.814757e-05	5.116842e-05	-1.910876e-05	3.867902e-05	-6.562998e-05	6.283987e-05	-5.383686e-05	4.613214e-05
850.5	2.271532e-05	4.387557e-05	-1.556339e-05	3.437622e-05	3.187333e-05	5.233733e-05	-1.148305e-05	4.071833e-05
900.5	2.786852e-05	3.974076e-05	-3.601781e-05	2.710885e-05	3.115914e-05	4.606604e-05	-7.687908e-05	3.145389e-05
950.5	8.797201e-06	2.864993e-05	-3.457462e-06	2.217905e-05	1.345901e-05	3.476773e-05	2.981206e-06	2.705966e-05
1000.5	4.555585e-06	2.617853e-05	-6.759683e-06	1.857832e-05	-2.322634e-05	3.253729e-05	-1.576814e-05	2.125913e-05
1050.5	-2.094151e-06	2.343751e-05	-1.537285e-05	1.741015e-05	1.311842e-06	2.914307e-05	-3.603491e-06	2.121226e-05
1100.5	-3.694723e-05	2.359725e-05	-1.370832e-05	1.645940e-05	-3.693606e-05	2.626493e-05	8.476694e-06	1.882844e-05
1150.5	-2.809609e-05	2.254673e-05	3.151610e-06	1.547473e-05	-2.856217e-05	2.418573e-05	1.864642e-05	1.809884e-05
1200.5	1.604622e-05	1.938947e-05	-4.213422e-06	1.350522e-05	3.156315e-05	2.231593e-05	-1.816750e-06	1.604897e-05
1250.5	9.329576e-06	1.743728e-05	-8.484411e-06	1.176867e-05	3.610122e-05	1.983066e-05	-7.566381e-06	1.403798e-05
1300.5	3.662742e-06	1.520983e-05	7.966065e-06	1.075887e-05	-1.701190e-05	1.761160e-05	2.458545e-06	1.264087e-05
1350.5	2.595682e-05	1.373522e-05	-2.693232e-06	1.024061e-05	3.206553e-05	1.607723e-05	-1.319785e-05	1.192964e-05
