# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 3.630842426505471821e+01 9.511176387953313993e-01 -2.350594559330266842e-01 1.003732078384051984e+00 -1.786292701082042023e-01 4.133877627634859886e-01 -2.840133692706165239e-02 -2.805481533718120341e-02 2.622612975132229129e-01
1.505000000000000000e+02 1.740875707114410886e+01 2.480629182139373612e-01 -8.795328442995459239e-02 2.502590888568471117e-01 -8.342105771120840452e-02 2.019463557348830651e-01 -2.119276323892237048e-03 -1.682567250010308293e-03 1.290909569958840486e-01
2.005000000000000000e+02 1.200237897417965982e+01 1.669559926551477669e-01 -2.229004265898429284e-03 1.683801340758263321e-01 -7.195797633908834583e-03 1.656296609876060921e-01 5.428130615692376183e-03 5.707205765826418691e-03 9.844721617045383566e-02
2.505000000000000000e+02 1.135406156969805203e+01 2.303319285523325877e-01 4.234594573902455972e-02 2.209800935609214645e-01 3.990172417851540337e-02 1.536924211010905483e-01 -3.452550669720232373e-04 -7.605763554017699749e-04 8.545436236510964290e-02
3.005000000000000000e+02 9.329827603766853272e+00 2.379435703492009391e-01 2.402965041708100477e-02 2.342757801780557259e-01 3.340065645621865392e-02 1.396775785916574975e-01 6.100301072236627084e-03 6.282869365927012603e-03 8.563899397133506453e-02
3.505000000000000000e+02 8.289699122570718615e+00 1.948897486634375564e-01 3.658564142868489175e-03 1.983991230799959093e-01 9.603082183237736380e-03 1.242581107234984328e-01 3.757042604228176975e-03 3.583045073339247849e-03 7.131330590903121880e-02
4.005000000000000000e+02 6.520156283680599074e+00 1.727664479232293715e-01 -3.794346750665923002e-02 1.720876579173757359e-01 -3.564243692016515891e-02 1.082831949150873108e-01 -2.660567840425893992e-04 -1.488713278835160380e-04 6.544163435580385713e-02
4.505000000000000000e+02 6.450517905088521076e+00 1.372548226660942339e-01 -2.489688866035883949e-02 1.363787967409350044e-01 -2.067288203977657446e-02 1.129554709848119010e-01 1.042786520957691455e-03 1.039569615075096277e-03 5.480858085841559119e-02
5.005000000000000000e+02 5.458858771748650973e+00 1.964958989942469092e-01 -1.491933701934046799e-02 2.007491369926545366e-01 -1.740284510361746195e-02 1.073221308438963295e-01 -1.122099556141073397e-03 -9.128948918732268875e-04 5.393167994633071838e-02
5.505000000000000000e+02 5.430568376385381590e+00 1.580829777873130615e-01 -2.348614628893139211e-02 1.621857277123484042e-01 -2.832656259410878258e-02 9.862965393657976976e-02 -1.487686957715206836e-03 -1.657358291191067187e-03 5.544508259670424127e-02
6.005000000000000000e+02 5.377779853158452639e+00 1.682580366718390841e-01 1.960487928125205156e-02 1.694449539687003237e-01 2.034493621973289951e-02 9.775684516915897349e-02 9.567188102912918112e-04 1.173726315079758227e-03 5.349367594471907128e-02
6.505000000000000000e+02 5.135938962091472604e+00 1.512584554048348462e-01 -8.528613772130523574e-03 1.520362144812782146e-01 -1.185884108051251523e-02 9.414415848478979720e-02 -7.005359532105459369e-04 -5.807264497142383382e-04 5.242276650605895427e-02
7.005000000000000000e+02 5.248353879376765896e+00 1.338672743242033947e-01 3.630261755794582813e-03 1.345189162165919272e-01 3.781323397194254546e-03 9.369312906979701538e-02 1.829347160550564861e-03 1.732815967889649901e-03 4.982006240755356558e-02
7.505000000000000000e+02 4.974264034761496589e+00 1.289476765575424677e-01 -2.821667433318069719e-03 1.300362916692451853e-01 5.075376763214333896e-04 9.073805495928299880e-02 -2.941754189487844995e-04 -8.106303461704284050e-05 4.800839510907521646e-02
8.005000000000000000e+02 4.748246448744939840e+00 1.249855274803630539e-01 -2.517138630964256465e-03 1.261582815682262271e-01 -9.066735298983874146e-04 8.552307499200555163e-02 8.351793088298117883e-04 8.818261406394379718e-04 4.447432986037289787e-02
8.505000000000000000e+02 4.485410347294123135e+00 1.324146868252698006e-01 6.560730523130281142e-03 1.309987889622026835e-01 4.541689641743463721e-03 8.565367258042883014e-02 9.245329800662967180e-05 -1.540584822675394828e-04 4.515504437379232183e-02
9.005000000000000000e+02 4.369538456924178860e+00 1.245913087725897678e-01 -9.087271558818169103e-04 1.234653646637955959e-01 6.277530810917474578e-04 7.917808024798794753e-02 6.493900581997276856e-05 9.694680259872194247e-05 4.303598368124954276e-02
9.505000000000000000e+02 4.107683594386585035e+00 1.191746120809781262e-01 6.842058676299572588e-03 1.189360662396759111e-01 7.282890806709276833e-03 7.964008958625395929e-02 4.989174954139514876e-04 6.962211533889609439e-04 4.085781787865406384e-02
1.000500000000000000e+03 3.928167283941048193e+00 1.203602293015544888e-01 -6.183194844267936958e-04 1.177863646802179559e-01 -1.998729074018512110e-03 7.815802487757514405e-02 -6.147876826832758979e-04 -5.261529613729846924e-04 3.850319428789394233e-02
1.050500000000000000e+03 3.784095801056013286e+00 1.224030968693578802e-01 -9.520365314331577511e-03 1.219404814466961140e-01 -1.060480640176882441e-02 7.642692630738816273e-02 1.152023529770757710e-03 1.091292207673354208e-03 3.886112103089041370e-02
1.100500000000000000e+03 3.732281570016263039e+00 1.176839163112581715e-01 -4.061820019325219216e-03 1.156704179854751574e-01 -5.067712095925040738e-03 7.427832016513405411e-02 -6.538201734170433644e-04 -5.959732253977951220e-04 3.826382397835283861e-02
1.150500000000000000e+03 3.586560938789377317e+00 1.157685238327227917e-01 -2.861265324261873418e-03 1.176330995111938144e-01 -4.310296184268958518e-03 7.419063559469091240e-02 -4.635269644127954121e-04 -3.534741442718407822e-04 3.729186751749056367e-02
1.200500000000000000e+03 3.420904474414153462e+00 1.138833419462540186e-01 -6.644306299676152813e-03 1.145613994079153902e-01 -6.984446572859813462e-03 7.271409692407287961e-02 -7.918528858387830849e-04 -6.720602453304566192e-04 3.660245511444232269e-02
1.250500000000000000e+03 3.359901678095352118e+00 1.100618599487639959e-01 -6.101913498092652668e-04 1.099859603460033447e-01 5.130500747787705533e-04 7.089107364550593926e-02 3.803220992334258878e-05 2.409941669388213857e-05 3.595624616693284675e-02
1.300500000000000000e+03 3.317973907606848183e+00 1.080492318556832976e-01 -3.680523271540901524e-03 1.063839892701254758e-01 -5.625148608395164930e-03 7.031508936444862135e-02 2.444362503722161259e-04 2.975767952143495813e-04 3.457017964438524604e-02
1.350500000000000000e+03 3.200896782829497411e+00 1.025069416082376450e-01 3.417619831031112844e-04 1.015425575138604736e-01 -1.700177831999442630e-03 7.096081042154786522e-02 -1.536054472926201152e-04 -1.682945332456647317e-04 3.398587284438008005e-02
1.400500000000000000e+03 3.146990975941579727e+00 1.037735987459864478e-01 -5.372144428038798771e-04 1.032713576360194258e-01 1.564227625762690211e-03 6.865309698948462991e-02 -3.009417384195155741e-04 -2.758022981174879573e-04 3.400021013814590043e-02
1.450500000000000000e+03 3.078088556161991285e+00 1.000170067658757850e-01 2.932391178907740523e-03 1.017735167494582538e-01 2.362127212423433768e-03 6.697896394309645063e-02 -1.199374123086426860e-04 -5.752955032486059008e-05 3.312816850813606745e-02
1.500500000000000000e+03 3.095353255322195185e+00 1.029336244959273700e-01 1.243607407510081107e-03 1.026241255724807816e-01 3.606733102570652914e-03 6.592615274270431647e-02 6.078771583402265040e-04 4.584179963861352461e-04 3.240256750101018490e-02
1.550500000000000000e+03 2.959530597327139301e+00 9.387014442100401201e-02 4.868797828394546764e-03 9.697537563967623120e-02 5.596408822962811377e-03 6.391764351398200594e-02 1.129846108262913903e-04 1.610479734524820255e-04 3.233202013495919264e-02
1.600500000000000000e+03 2.869211193574969787e+00 9.380753293596325038e-02 1.352824392708437034e-03 9.407824833638081530e-02 1.987770386697936074e-03 6.416578680423495884e-02 -1.662699126061901924e-04 -2.164609219123407905e-04 3.060803727931544690e-02
1.650500000000000000e+03 2.872366153273734568e+00 9.666720833317840600e-02 -1.470765793177707939e-03 9.827719110408902892e-02 -2.002652059271963370e-03 6.211414759460991142e-02 -1.405387166705002904e-04 -2.019638054894577035e-04 3.048163251487905762e-02
1.700500000000000000e+03 2.785252810020151237e+00 9.214157732310264415e-02 -2.883699267559246011e-03 8.881899668310989926e-02 -3.926091136097323991e-03 6.202128751139948659e-02 -8.751852969362306802e-05 -1.060724310174010612e-04 2.953863072018276040e-02
1.750500000000000000e+03 2.740349061442411305e+00 8.884973805276107084e-02 4.564554968643695599e-04 8.869396507909596550e-02 1.640115836773129235e-03 6.122076687573998338e-02 -4.178555168066999908e-04 -2.466037478172837072e-04 2.928234757473812191e-02
1.800500000000000000e+03 2.733439737248952284e+00 8.875810834032155094e-02 -9.248796634030334411e-04 8.958140412773207828e-02 -9.902662788380845683e-06 6.187765562103453992e-02 -2.172676749607001972e-04 -1.119675740613736262e-04 2.901130092556650220e-02
1.850500000000000000e+03 2.662036102854794528e+00 8.839026991460535720e-02 -1.682960898591786755e-03 8.739517839603909433e-02 -2.563630026728420160e-03 6.131962693412634779e-02 -2.216568947128431000e-04 -6.203656539778969019e-05 2.891835363956787863e-02
1.900500000000000000e+03 2.594141364511355796e+00 8.573591596386194447e-02 -2.648787009951145697e-04 8.322099217318477959e-02 9.955736624893140891e-04 5.900820649358886477e-02 -1.717330459191072250e-04 -1.985174921194174792e-04 2.874912430562694479e-02
1.950500000000000000e+03 2.537474663144819953e+00 8.188698139827506328e-02 -3.460522814104913854e-04 8.040757825132922865e-02 1.203019294447319875e-03 5.979543414725835282e-02 3.847915025287511922e-05 4.046684751587533899e-05 2.753630195448858800e-02
2.000500000000000000e+03 2.527930623766791118e+00 8.225798839039896726e-02 1.407148978375643081e-03 8.362762749167255982e-02 4.275680075166985502e-04 5.800394601528344879e-02 2.646806962376280366e-04 3.464888510240279884e-04 2.731650446298992257e-02
2.075500000000000000e+03 2.461493060523382237e+00 8.485268088721652224e-02 1.645923693286168799e-03 8.492870117876204217e-02 1.411022819214498378e-03 5.649211030875929407e-02 2.783717369639446444e-04 3.479272120157274480e-04 2.650537292605568626e-02
2.175500000000000000e+03 2.423262316401677108e+00 8.242260181395129337e-02 2.153373862344323646e-03 8.182603703516422300e-02 3.365439288411780153e-03 5.448134118744085014e-02 6.697526699156552239e-05 1.020487985992656245e-04 2.555648171417371911e-02
2.275500000000000000e+03 2.311683965211650094e+00 8.142081454900201853e-02 5.112417487382816140e-04 8.167463391854802579e-02 -4.024811291785954982e-04 5.209555740639418980e-02 -6.474874781148772548e-05 -1.309932101000385336e-04 2.469698998996927922e-02
2.375500000000000000e+03 2.252068482800297478e+00 7.934297288570447970e-02 -1.835638619579501099e-03 8.009339185733646560e-02 -2.355848385352577335e-03 5.079962443079322904e-02 -2.503248869730345812e-04 -2.139039623919841270e-04 2.401591496504421053e-02
2.475500000000000000e+03 2.210939148918749098e+00 7.819186220681566268e-02 -1.253213700406147126e-03 7.714858200382750109e-02 -5.059521811049226677e-04 4.888285947326734965e-02 -1.519979494213807591e-05 -6.927416076543632423e-05 2.320753723986125963e-02
2.625500000000000000e+03 2.137595608931305069e+00 7.621862180993166369e-02 -1.166307871965881118e-03 7.561344053474834681e-02 -8.555630302961221047e-04 4.717698303602100435e-02 -1.175524530290998520e-05 -1.839196652766376854e-05 2.241989298919040349e-02
2.825500000000000000e+03 2.033905560249805067e+00 7.220736359866133935e-02 7.129821691025462274e-04 7.178989246322325934e-02 2.763176483510207566e-04 4.415946490554470416e-02 1.863519258889663184e-04 1.963006825959380801e-04 2.104367629558184447e-02
3.025500000000000000e+03 1.962289518398790733e+00 7.000206112008795778e-02 9.742171271304368068e-05 7.019158048277800155e-02 -8.381408808523467058e-05 4.197388422326644997e-02 -1.078633640522220236e-04 -1.234732978298366682e-04 1.992780864181294478e-02
3.325500000000000000e+03 1.870624195780316024e+00 6.700637202745615695e-02 -6.222642096513631956e-04 6.744696092494115169e-02 -4.563920378053502847e-04 3.901765032120985133e-02 -3.864035898372278951e-05 -2.719381761456641193e-05 1.858464387514885408e-02
3.725500000000000000e+03 1.748298047169761782e+00 6.282655980430236486e-02 -3.349540563860797706e-04 6.271474370574221802e-02 -3.765594015295106473e-04 3.573839604205415049e-02 -5.064022263943611244e-05 -4.645194492582833821e-05 1.702588635631215042e-02
4.125500000000000000e+03 1.651538406498740175e+00 5.911975937740179127e-02 -2.758355498301911873e-04 5.917483115615723710e-02 -1.961828180675392061e-04 3.288358900853548955e-02 -4.460213939837397884e-05 -5.122020977075742630e-05 1.574185798474835724e-02
4.525500000000000000e+03 1.573237993821954284e+00 5.742793437164195325e-02 -3.373591167381852197e-04 5.750378565864764507e-02 -4.887846333437808775e-04 3.071746824626629332e-02 -2.950649165669655470e-05 -3.814034640178722290e-05 1.469685250148325927e-02
4.925500000000000000e+03 1.525350353096303069e+00 5.500990919915633298e-02 2.454259617019938808e-04 5.562319893051201336e-02 3.765705461303012007e-04 2.878712888660018773e-02 -1.158292929658463915e-05 -1.198052493877139496e-05 1.380579910531772383e-02
5.325500000000000000e+03 1.457201216836242486e+00 5.263499339378575198e-02 -2.327279320279405125e-04 5.209045803062718055e-02 -1.424733688329245728e-04 2.718682756713852733e-02 -4.815256394902070399e-05 -3.895197315570222171e-05 1.304072406548106335e-02
5.725500000000000000e+03 1.403719056008429833e+00 5.105691863193751595e-02 -2.639223092209774216e-04 5.087724757618662663e-02 -4.885823873519122562e-04 2.561982738451058783e-02 -2.880588311967261791e-05 -2.042182634611898646e-05 1.234541197467638185e-02
6.125500000000000000e+03 1.361718972086338297e+00 4.981441217462712762e-02 1.319386582714397271e-04 4.956810127782999148e-02 1.266434798487602953e-04 2.442216150411897352e-02 6.026318951053617225e-05 5.702548801942113591e-05 1.174612520312368069e-02
6.725500000000000000e+03 1.308700919386953432e+00 4.735299991862230995e-02 -2.030993964586544408e-04 4.745462366076756006e-02 -3.635587460317901004e-04 2.271947740957618034e-02 -6.043619704825716881e-06 -3.802588331207677596e-06 1.097779882056970115e-02
7.525500000000000000e+03 1.248589695965534041e+00 4.473888342041092842e-02 -2.984517900845662722e-04 4.496572288339017315e-02 -3.858072020294285066e-04 2.078892588422197665e-02 -8.088085703766936693e-06 -4.572306660100565104e-06 1.013875444010012804e-02
