# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 1.839450746274869444e-04 0.000000000000000000e+00 0.000000000000000000e+00 -6.007916008568169741e-07 -1.353921690560432129e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.505000000000000000e+02 -3.513901048872167861e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.283563314611937885e-06 -6.543565159787507546e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.005000000000000000e+02 -1.106933889480578217e-03 0.000000000000000000e+00 0.000000000000000000e+00 -9.029121854904111484e-06 -4.472264034401679244e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.505000000000000000e+02 -4.816496856644136024e-04 0.000000000000000000e+00 0.000000000000000000e+00 -1.547367343468628193e-06 9.656211259748163293e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.005000000000000000e+02 -9.771026037990071956e-04 0.000000000000000000e+00 0.000000000000000000e+00 5.687292390613763761e-06 1.803851968869581005e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.505000000000000000e+02 1.256178677601030346e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.572059194517391682e-05 -1.625482555876754776e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.005000000000000000e+02 -2.527130987480514287e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.237387215112856743e-05 5.176725324086580199e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.505000000000000000e+02 -3.429522297753954800e-04 0.000000000000000000e+00 0.000000000000000000e+00 -2.686713002674837657e-05 1.861429973037318609e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.005000000000000000e+02 -4.636356882769680820e-04 0.000000000000000000e+00 0.000000000000000000e+00 2.433513684666346671e-05 -1.131955835126513679e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.505000000000000000e+02 -2.347351600147430575e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.799564181356142283e-06 -3.845914748560956656e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.005000000000000000e+02 2.111105368921732737e-04 0.000000000000000000e+00 0.000000000000000000e+00 -1.137706583244398971e-05 -1.449656279912307694e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.505000000000000000e+02 -1.479483950335775105e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.422720744273827436e-05 2.502282181251372324e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.005000000000000000e+02 -2.703936784683165333e-03 0.000000000000000000e+00 0.000000000000000000e+00 -2.002568055887909014e-05 3.296052068265644465e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.505000000000000000e+02 -2.125784425783526846e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.597599618571206238e-06 9.512616022104093997e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.005000000000000000e+02 -6.636900003380604004e-04 0.000000000000000000e+00 0.000000000000000000e+00 2.801936991061947341e-05 -4.289274256831766403e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.505000000000000000e+02 2.969839476845480362e-03 0.000000000000000000e+00 0.000000000000000000e+00 -2.603178080099783040e-05 -3.392545626043791011e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.005000000000000000e+02 -1.746480546799518332e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.231290011195835380e-05 1.131041198819015994e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.505000000000000000e+02 -1.754472872170322051e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.183692117667937192e-05 7.308362860573998886e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000500000000000000e+03 -6.046310639610725547e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.483236313277388758e-04 -2.347503544210095293e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050500000000000000e+03 1.113972536085663023e-03 0.000000000000000000e+00 0.000000000000000000e+00 -4.630442923080857975e-05 4.452977269038833067e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100500000000000000e+03 -5.665773333092666113e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.181918464347446523e-05 3.482660621950451507e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.150500000000000000e+03 3.969376411272354868e-03 0.000000000000000000e+00 0.000000000000000000e+00 -3.762354168908084738e-05 -7.621035241358869864e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200500000000000000e+03 -1.404933151040961775e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.383033860725169786e-06 2.624432353615171489e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250500000000000000e+03 5.910324566287993497e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.205681961024454428e-05 8.344517531647779103e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300500000000000000e+03 -1.378614768278464675e-04 0.000000000000000000e+00 0.000000000000000000e+00 -6.399031845533067754e-06 -5.860972686728392622e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.350500000000000000e+03 1.600632790042187323e-03 0.000000000000000000e+00 0.000000000000000000e+00 8.660932757190567338e-05 -1.630136493523709116e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400500000000000000e+03 -6.226222599233642747e-03 0.000000000000000000e+00 0.000000000000000000e+00 -8.884006682539385792e-06 -4.188171941387341127e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.450500000000000000e+03 -8.599313258694274474e-04 0.000000000000000000e+00 0.000000000000000000e+00 5.210197074139936828e-05 -1.215883318441088684e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500500000000000000e+03 5.420912401668122327e-03 0.000000000000000000e+00 0.000000000000000000e+00 -3.762213424681030315e-05 6.563062335002507383e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550500000000000000e+03 -2.201732212382994519e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.635895045988743849e-04 -1.106126250857069411e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600500000000000000e+03 4.729394308004454669e-04 0.000000000000000000e+00 0.000000000000000000e+00 -1.004784190316422934e-04 -1.093076286808241445e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650500000000000000e+03 -3.448449401914438711e-04 0.000000000000000000e+00 0.000000000000000000e+00 -2.404736221035654186e-06 1.031178812239219540e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700500000000000000e+03 -2.927386108898943386e-03 0.000000000000000000e+00 0.000000000000000000e+00 8.078302720029961856e-05 1.878410377294287048e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750500000000000000e+03 -2.930589297713492793e-04 0.000000000000000000e+00 0.000000000000000000e+00 -2.395634841711635803e-05 7.314446232093774810e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800500000000000000e+03 5.865985294075010429e-04 0.000000000000000000e+00 0.000000000000000000e+00 2.262041462508418183e-05 -8.485200978432013016e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.850500000000000000e+03 -3.312012542967190769e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.870815719343364996e-04 -1.175684088116363172e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.900500000000000000e+03 3.955169879935613655e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.282709925128633084e-04 4.932114557736517956e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.950500000000000000e+03 -5.807410463136293034e-03 0.000000000000000000e+00 0.000000000000000000e+00 3.663649438105561076e-05 8.340732518743414604e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000500000000000000e+03 2.986594286413469732e-03 0.000000000000000000e+00 0.000000000000000000e+00 5.802743781632828819e-05 1.562235959322372443e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.075500000000000000e+03 -3.162914505858534057e-03 0.000000000000000000e+00 0.000000000000000000e+00 -7.004271328847481212e-05 1.324811274898226752e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.175500000000000000e+03 1.820660546619124950e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.804715429409676304e-04 1.155258006168436981e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.275500000000000000e+03 -1.328698417064920478e-03 0.000000000000000000e+00 0.000000000000000000e+00 -3.327626380239694418e-05 7.589969353723893613e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.375500000000000000e+03 -6.175561614222001587e-04 0.000000000000000000e+00 0.000000000000000000e+00 -3.885501827181877057e-05 1.698003477284793731e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.475500000000000000e+03 3.739764872497135326e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.296894048453184373e-05 -9.448789050256397324e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.625500000000000000e+03 -2.623301879966725113e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.977958118891740962e-05 3.848160345539347696e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.825500000000000000e+03 1.395518484924527722e-03 0.000000000000000000e+00 0.000000000000000000e+00 4.512125227290756443e-06 3.328289675860750024e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.025500000000000000e+03 -2.342156846071664737e-03 0.000000000000000000e+00 0.000000000000000000e+00 9.179771363316408269e-07 -5.005306835409173325e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.325500000000000000e+03 -9.653289242031387130e-04 0.000000000000000000e+00 0.000000000000000000e+00 -2.668776526535392953e-06 1.343752870779615649e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.725500000000000000e+03 -3.534466808852795502e-03 0.000000000000000000e+00 0.000000000000000000e+00 3.949845397884212209e-05 3.543554350679104816e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.125500000000000000e+03 1.843385475946910908e-03 0.000000000000000000e+00 0.000000000000000000e+00 5.150788093286049583e-06 -1.253496607053286356e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.525500000000000000e+03 -2.432894706168087554e-04 0.000000000000000000e+00 0.000000000000000000e+00 4.967652817737446940e-07 -1.534943785395191250e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.925500000000000000e+03 1.863037635209319936e-03 0.000000000000000000e+00 0.000000000000000000e+00 3.135874599026755854e-05 3.444216301250582394e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.325500000000000000e+03 -3.954826259749955313e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.154080340521931808e-05 8.972696989885367607e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
