# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 5.944396936219136949e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.727944132208693467e-06 -1.772601531995780746e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.505000000000000000e+02 1.219907152617529184e-03 0.000000000000000000e+00 0.000000000000000000e+00 -4.927468024500671741e-06 -1.339461266865951578e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.005000000000000000e+02 2.055021153673704595e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.135610680402881787e-05 5.644700632110915045e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.505000000000000000e+02 2.045947768926687296e-03 0.000000000000000000e+00 0.000000000000000000e+00 -2.325341291043518904e-05 1.346165798995718087e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.005000000000000000e+02 3.823516621001556929e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.318850641797926401e-05 1.651516481018034847e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.505000000000000000e+02 2.993641995738752747e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.071224884894444837e-05 2.433238843210226200e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.005000000000000000e+02 4.386284503155543114e-03 0.000000000000000000e+00 0.000000000000000000e+00 4.105959146852532882e-05 -1.499794035705089797e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.505000000000000000e+02 4.587234194798268591e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.495182796934881480e-05 -3.741638374601765797e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.005000000000000000e+02 2.563189156951351660e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.285872702479874346e-06 -3.227684975062937356e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.505000000000000000e+02 5.133901498499373467e-03 0.000000000000000000e+00 0.000000000000000000e+00 -2.180535126993114395e-05 4.191343153217817898e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
