# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 1.119080111462314149e-03 2.802585404966169988e-04 -1.282654268960815196e-04 2.740635737742370070e-04 -1.201150204165394962e-04 4.855679761225664649e-04 1.696091678913452780e-05 1.776485214540922649e-05 2.903331880011751067e-04
1.505000000000000000e+02 4.292969950615518372e-04 3.418550530861848747e-05 -3.032803067244736498e-05 3.536639264095245921e-05 -2.937330924838958956e-05 1.247698443418829479e-04 -2.003293841812913452e-07 -5.757062034522514332e-07 8.419288065674497990e-05
2.005000000000000000e+02 3.332706603978522744e-04 9.840208909705421169e-06 -6.577286536621672186e-06 1.113617961856668681e-05 -7.397933083481214430e-06 9.477839416440710693e-05 -6.979069406516796825e-06 -7.666982717241360679e-06 5.181170260549850329e-05
2.505000000000000000e+02 2.746293356111070773e-04 3.558725636280771502e-05 -5.283445527484436538e-06 3.395348018751052758e-05 -5.614984138664315532e-06 7.505208785923473845e-05 -5.073959101865644606e-06 -4.665802736922189382e-06 4.036680208785743532e-05
3.005000000000000000e+02 2.316405196490504048e-04 1.615923089493740189e-05 3.349179995269258318e-05 1.578897733761157579e-05 3.070522978593311130e-05 6.997661470409840927e-05 -1.247361416015158418e-06 -1.196003164168314028e-06 3.197071594800232023e-05
3.505000000000000000e+02 1.985778385385137919e-04 3.974405701043399263e-06 1.829773461717952763e-05 4.438326107016934173e-06 1.740652099151785364e-05 4.675745908917811083e-05 -2.589350395005495430e-06 -2.609412542432264975e-06 2.604031590223797034e-05
4.005000000000000000e+02 1.495517760789069411e-04 1.633253577168107819e-05 3.531621496772421880e-06 1.617720643636639166e-05 3.350111777912047980e-06 3.868731876775960193e-05 6.768251016561386584e-06 6.927599742535773411e-06 3.047520247123761328e-05
4.505000000000000000e+02 1.810923530870043165e-04 1.051198886928561111e-06 3.415994153955932011e-06 1.694625836317315864e-06 3.399807024319826200e-06 4.329520372639327006e-05 -3.157829599316103354e-06 -3.017437445913287330e-06 1.745281103357382470e-05
5.005000000000000000e+02 1.508779281147450233e-04 1.555403988615276464e-05 1.233039192213971073e-06 1.594240132323844640e-05 9.661628340833662803e-07 2.994658397887927254e-05 4.162526751903529738e-06 4.103305124125431724e-06 1.984669759845698617e-05
5.505000000000000000e+02 1.496253691589792556e-04 1.351434147904566582e-05 2.591961104201559919e-07 1.346118022171972485e-05 -8.650339357814236458e-08 3.604138038830329688e-05 -2.902342238130022363e-06 -2.902870606291513669e-06 1.431786800840573953e-05
6.005000000000000000e+02 1.449507781257150930e-04 6.635864732465321610e-07 5.302535215069360987e-06 1.072529813294637386e-06 4.968351359868924510e-06 3.194102302841678398e-05 -1.175837400131048667e-06 -1.224208243898160710e-06 1.827837862701171855e-05
6.505000000000000000e+02 1.436762296668992389e-04 5.496750917124141335e-06 -1.859126112488462914e-06 5.450102521932481484e-06 -1.241624013883338972e-06 3.100599117287534148e-05 2.749861662717145423e-08 5.320110560166614191e-08 1.916470246598052409e-05
7.005000000000000000e+02 1.492218257946891944e-04 7.802006108741200982e-06 4.772937434882029515e-06 7.293314280496598727e-06 4.420192811778030166e-06 3.257992834939445626e-05 -1.092533915147957615e-06 -1.305732188772926381e-06 2.155409983040293404e-05
7.505000000000000000e+02 1.376970137748287641e-04 6.256478884464037047e-06 -2.380163350739995010e-06 6.319628949033191307e-06 -2.230883150272370823e-06 3.294205938203690980e-05 2.862767553183623371e-07 3.655832462395633020e-07 2.140133431240825922e-05
8.005000000000000000e+02 1.321492813077840040e-04 4.676389325328250626e-06 -4.150570189255845540e-07 4.889674323169343156e-06 -2.945746122195598051e-07 2.953170180458418917e-05 -7.115963942245084531e-07 -7.499861876971517310e-07 1.775046715996345817e-05
8.505000000000000000e+02 1.251510114206791488e-04 5.365888334413356293e-06 -1.997459554204135699e-07 5.386869829293118898e-06 -2.195436953936351654e-07 2.766651320533065507e-05 -6.402720328979308273e-08 -1.850333816677132986e-08 1.781822716262192207e-05
9.005000000000000000e+02 1.216219273010540517e-04 3.995719518939340474e-06 -7.936793660166724939e-07 4.131908635741591186e-06 -7.970770125912827854e-07 2.575784554992395969e-05 -7.916675252331294236e-07 -7.117243007982047312e-07 1.771944904301204761e-05
9.505000000000000000e+02 1.165720151420879226e-04 5.565577049006017098e-06 -3.080664102671835521e-07 5.401507281682723295e-06 -2.035715139857768365e-07 2.523838262848188523e-05 -3.078903730635298692e-07 -2.934405150379842143e-07 1.630689457971432451e-05
1.000500000000000000e+03 1.152995433401133750e-04 6.082126413604752473e-06 1.476330861702661461e-07 6.023211932754004028e-06 1.169010831199413533e-07 2.393323698694317113e-05 9.540604085274339223e-08 6.058642577153936616e-08 1.589576547665987174e-05
1.050500000000000000e+03 1.084075274039696796e-04 6.465100675089244406e-06 1.053246393798399257e-06 6.370166622888733921e-06 9.563195033429161801e-07 2.349424055428260135e-05 -3.774050297973703563e-07 -3.523305112385271049e-07 1.427901419147901949e-05
1.100500000000000000e+03 1.051947633096580710e-04 4.730113806594281847e-06 3.060988379617028759e-07 4.675943167721249383e-06 1.723100774437774757e-07 2.256579910561079931e-05 -2.634876569348444025e-08 -2.494104815215719713e-08 1.386353543304939516e-05
