# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 1.060757660653121291e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.778217212903956652e-04 -5.882002195936808986e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.505000000000000000e+02 2.010781484971506210e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.305982894047509222e-04 1.007423491358302882e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.005000000000000000e+02 -3.604749785959381211e-04 0.000000000000000000e+00 0.000000000000000000e+00 2.931724209369287505e-05 -2.148570694098941256e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.505000000000000000e+02 -1.359708730570206815e-04 0.000000000000000000e+00 0.000000000000000000e+00 3.091975281880666308e-06 1.959356659710149886e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.005000000000000000e+02 4.227321607388832402e-04 0.000000000000000000e+00 0.000000000000000000e+00 -4.690412621235052446e-05 -6.431462373229800620e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.505000000000000000e+02 -2.757306371444072390e-04 0.000000000000000000e+00 0.000000000000000000e+00 4.603956195116778641e-06 -2.873334031345809220e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.005000000000000000e+02 -1.771507028962130185e-04 0.000000000000000000e+00 0.000000000000000000e+00 8.881723828615074306e-06 -5.061798274024154688e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.505000000000000000e+02 9.080944596141222569e-06 0.000000000000000000e+00 0.000000000000000000e+00 -4.359209531317748815e-06 -1.366873192922919884e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.005000000000000000e+02 -2.701699651628968238e-04 0.000000000000000000e+00 0.000000000000000000e+00 -3.300702724319957528e-06 1.692177100870791053e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.505000000000000000e+02 -1.303169151926040234e-04 0.000000000000000000e+00 0.000000000000000000e+00 8.529495330578094089e-06 -2.687003043046027757e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.005000000000000000e+02 -1.159051326631007831e-04 0.000000000000000000e+00 0.000000000000000000e+00 -3.820638541548410892e-06 2.561583016450672917e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.505000000000000000e+02 -6.861037510164281648e-05 0.000000000000000000e+00 0.000000000000000000e+00 -1.506182366045712018e-05 3.955561403796221709e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.005000000000000000e+02 -9.435066982232388451e-05 0.000000000000000000e+00 0.000000000000000000e+00 5.655001909640625527e-06 7.031564916764725001e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.505000000000000000e+02 5.519855220608235616e-05 0.000000000000000000e+00 0.000000000000000000e+00 2.830744778963144829e-07 3.380035076780348170e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.005000000000000000e+02 3.091177075552654800e-06 0.000000000000000000e+00 0.000000000000000000e+00 4.341949066796336112e-06 -2.051775596033201977e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.505000000000000000e+02 1.642011957799812319e-05 0.000000000000000000e+00 0.000000000000000000e+00 5.125935583447438727e-06 -3.274798933378670436e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.005000000000000000e+02 -8.756317960119958262e-05 0.000000000000000000e+00 0.000000000000000000e+00 2.400513409321932631e-06 -2.553902850146065095e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.505000000000000000e+02 1.560375544245193733e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.816664570553922461e-07 -2.654347284267455460e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000500000000000000e+03 -1.647575005074047085e-05 0.000000000000000000e+00 0.000000000000000000e+00 6.445959237806826023e-06 1.869703972733395300e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050500000000000000e+03 -5.762296846894246639e-07 0.000000000000000000e+00 0.000000000000000000e+00 -1.743323276929058183e-06 -6.781680070157766376e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100500000000000000e+03 2.452357228730598820e-06 0.000000000000000000e+00 0.000000000000000000e+00 5.081750850799663052e-06 7.193042191523341048e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
