# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 1.221086718426225154e-02 -1.069420728605303400e-06 -1.943795188382973073e-05 -1.069420728605303400e-06 -1.943795188382973073e-05 8.881982317803832530e-06 -1.571148857446434664e-07 -1.571148857446435987e-07 8.666842258032027535e-06
1.505000000000000000e+02 4.988461547567783066e-02 1.671689840206746862e-05 1.565608765775720291e-05 1.671689840206746862e-05 1.565608765775720291e-05 3.737348640622272959e-05 4.326502139921875323e-07 4.326502139921872146e-07 3.880698238379767611e-05
2.005000000000000000e+02 9.138139095067279727e-02 1.291267041319945528e-06 -4.366591551692403393e-05 1.291267041319945528e-06 -4.366591551692403393e-05 6.700821149032319885e-05 6.165025545646340635e-07 6.165025545646351223e-07 6.522236889138875585e-05
2.505000000000000000e+02 1.414616860026637057e-01 -8.671905154191131071e-06 3.548337959498244397e-06 -8.671905154191131071e-06 3.548337959498244397e-06 1.027490651667580998e-04 -4.004522096778772733e-07 -4.004522096778750499e-07 1.013251873438526806e-04
3.005000000000000000e+02 1.993011903449752598e-01 -4.607811034808141599e-05 -4.368053705348616398e-05 -4.607811034808141599e-05 -4.368053705348616398e-05 1.467747671912224576e-04 5.839496004566573419e-07 5.839496004566592477e-07 1.499066606586179793e-04
3.505000000000000000e+02 2.708774913687170272e-01 -4.793474599380209678e-05 4.727230868144186845e-05 -4.793474599380209678e-05 4.727230868144186845e-05 2.019625576082762050e-04 7.894214684397196470e-07 7.894214684397192235e-07 2.022792057274031094e-04
4.005000000000000000e+02 3.534027190037851152e-01 5.049024103076374739e-05 1.690504097062738131e-05 5.049024103076374739e-05 1.690504097062738131e-05 2.584244516073098074e-04 3.509387810547160259e-06 3.509387810547161953e-06 2.561125197256793940e-04
4.505000000000000000e+02 4.454805716563873808e-01 1.694388869786428225e-04 5.340396155951453758e-05 1.694388869786428225e-04 5.340396155951453758e-05 3.324590079717793878e-04 -3.206646181135019223e-06 -3.206646181135011600e-06 3.296980171309406142e-04
5.005000000000000000e+02 5.405908514403896525e-01 -3.147090182149268932e-04 -1.798025292768728556e-04 -3.147090182149268932e-04 -1.798025292768728556e-04 4.113982351005462295e-04 1.418580128084374198e-06 1.418580128084370598e-06 4.040831504329597226e-04
5.505000000000000000e+02 6.720536959208653904e-01 5.122288088697323996e-05 -2.060059452130078971e-04 5.122288088697323996e-05 -2.060059452130078971e-04 4.971826598833287364e-04 -6.699597280662120219e-06 -6.699597280662119372e-06 4.935487525305652179e-04
6.005000000000000000e+02 7.968473371571240804e-01 -1.824339346423991669e-04 -1.318776134649658359e-04 -1.824339346423991669e-04 -1.318776134649658359e-04 5.951543565966533299e-04 -1.386060011165120443e-06 -1.386060011165107949e-06 5.937190126492317447e-04
