# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 3.361899997742277824e-02 8.983020109308288530e-04 -2.826182159396519854e-03 8.180876877035853784e-03 -8.701665706680138373e-04 3.226752179510686529e-03 7.808786231082531055e-05 -5.347008627670942447e-04 3.574334972699942485e-03
1.505000000000000000e+02 4.356531984764631135e-04 2.329510760898914536e-04 2.027329713436869176e-04 2.452943474095921014e-04 -3.734474649858127295e-05 3.068396800046352228e-04 4.712295919307036960e-05 -8.131545464835438159e-05 2.140156935241168952e-04
2.005000000000000000e+02 -1.432632641046650531e-03 -2.357126066201840257e-04 3.203618330371124943e-05 -1.896178885258370181e-03 -9.547289405558965786e-04 -1.785217244489484831e-04 -8.112774284540310752e-05 2.801938485201386284e-06 5.164345475010303039e-06
2.505000000000000000e+02 4.547886802187593811e-04 3.454248911778359723e-05 -2.268195811488049260e-04 -9.790959432609712063e-04 1.183164048935811163e-04 -9.780404130955678242e-05 -9.625563105708583825e-05 1.071946409777963026e-04 -2.953940162863533063e-05
3.005000000000000000e+02 -3.645921438478355505e-03 -2.255931288529270057e-04 2.326952270835884722e-04 -3.302029900852812647e-04 -5.652437428483725454e-04 -1.197041594076322268e-04 -1.142101625534806510e-04 1.566060255586640426e-04 -1.288974944338177231e-04
3.505000000000000000e+02 -2.685347580913690236e-03 -1.520558583828720319e-04 2.136608999758031530e-06 -3.765435771138737420e-04 -4.481789634983269978e-04 -3.250715019953551881e-04 9.481555355416360667e-06 1.381564218524130921e-04 -2.729419882054406692e-04
4.005000000000000000e+02 -5.801020427994625465e-03 -2.173841058418333626e-04 -1.024713289592769753e-04 -8.165169381932821640e-04 2.952036570448584208e-04 -4.218852956485416084e-04 -7.468821409033259357e-05 7.811058991235032812e-05 -5.699016882064500568e-05
4.505000000000000000e+02 -3.612013080532655487e-03 -3.620819356612661765e-04 -1.105691449712277490e-04 -9.714005474113115686e-04 -1.278692312643361613e-03 -1.793010548876093873e-04 -2.149323387681005483e-04 4.197317895667660505e-05 -2.142445021702464570e-04
5.005000000000000000e+02 -2.936514345307662983e-03 1.986884969017310308e-04 9.549636272556305452e-05 -2.334595544588296135e-04 -4.591397754800748045e-04 -8.858910879227552368e-05 -7.594438337923190149e-05 1.192414915844978589e-04 -1.857947454620424677e-04
5.505000000000000000e+02 -2.274643808614642930e-03 8.320346895429536497e-06 1.314106152416553823e-05 -8.095534857397067774e-04 -9.446778270847665552e-04 -1.388631998090832890e-04 -1.584287985241867710e-05 2.198513467107932198e-05 -1.780574334814852646e-04
6.005000000000000000e+02 -2.400841873822878985e-03 5.029023742131897499e-05 1.319573654138439696e-04 -7.700545486704843141e-05 6.285686760022939946e-04 -6.305331089154954534e-05 -8.986476922190059149e-05 1.272353651652399623e-04 -7.835080774200770025e-05
6.505000000000000000e+02 -8.707582174609432551e-04 -4.297203329118731978e-05 -1.706603216011213397e-05 1.040834239192065002e-04 6.930223360282963948e-04 -1.175668551344878301e-04 -4.479409899041148120e-05 1.743195734682410566e-05 -5.696574861912883308e-05
7.005000000000000000e+02 -7.752813878771442008e-04 9.689225778160608581e-05 1.327111917480081478e-05 -1.306457967973625534e-04 -1.591339135729746173e-04 -4.227389206405258407e-05 -7.640458996315966018e-05 8.935930567412838662e-06 -4.113411699816753189e-05
7.505000000000000000e+02 3.365240213375748739e-04 -3.194007912435806228e-05 -3.163262984014507726e-05 -3.831819438346385537e-05 3.417551220736798965e-04 -1.642231941865308380e-06 -1.981494834514502829e-05 5.018959362079416608e-05 1.547892016909936707e-05
8.005000000000000000e+02 -2.432453811732647518e-04 5.394683315196117360e-05 4.786718268197890654e-05 -7.993787949107740887e-05 -8.216802070257721562e-05 -5.919223849045710576e-06 -4.206427425965933095e-05 6.444940337536736837e-06 5.493719672668620508e-06
8.505000000000000000e+02 -1.170428052346124366e-04 2.255472239941602432e-05 9.958377110726752149e-06 8.232750337479963351e-05 -6.774911891848048209e-05 -2.547569118201020534e-05 -1.671824882466562597e-05 1.234509553031639249e-05 -1.865398051948461867e-05
9.005000000000000000e+02 2.304350337973746468e-04 -1.663320075516399292e-05 -2.149774031361837220e-05 -7.493260331779240597e-05 8.513210028638734618e-05 -2.599770999007006757e-05 7.065049474952100412e-06 -4.381606284976167393e-06 -4.588924521818479177e-06
9.505000000000000000e+02 3.845993316524440146e-04 1.479998978013291001e-05 8.788888820336551106e-06 1.835376430313470972e-05 1.165763625567677194e-04 6.262319171423916630e-06 1.787233445834814814e-06 2.621844757548367093e-06 -1.957905560851789224e-05
1.000500000000000000e+03 -2.544186843004021662e-04 -1.759080455968952412e-05 1.611216395720425447e-06 -1.864244386726514563e-04 2.895870888478903731e-05 -1.106318070433817166e-05 -8.573897573164182689e-06 2.352020193390771423e-05 -1.693572247304403979e-05
1.050500000000000000e+03 -3.178808451014643256e-04 -3.931671648899373958e-05 1.966105770775562761e-05 -1.604911936459490671e-04 1.498633391465710950e-04 -1.759748311694316338e-05 -9.963349522241512211e-07 1.770562697387790968e-05 -1.874377008685761760e-05
1.100500000000000000e+03 -1.686581280191578800e-04 -3.354361254834558389e-05 1.368294060051579881e-05 1.630068075588821423e-04 2.495649055563981759e-04 -4.771112327700774368e-06 -4.461689439611245558e-06 3.739971260512594392e-06 -1.752974508926336334e-05
1.150500000000000000e+03 -4.380103995767354306e-04 -1.578376067779685551e-05 1.189557662299625790e-06 -1.132646607718476708e-04 -4.700038204203811870e-05 -4.123266445460738443e-05 4.262853597298545660e-06 6.613130128350472024e-06 -5.431854370880645651e-06
1.200500000000000000e+03 -2.314019981568603637e-04 -4.689856387465919516e-05 3.425991985543543858e-05 4.541257349036773483e-05 8.947182740631007671e-05 -2.081113923925933124e-05 2.397158994627434795e-06 -6.717096348379258489e-06 -1.122682196786370296e-05
1.250500000000000000e+03 -2.305064609749173142e-04 1.116463906431851493e-05 3.028361062430541344e-05 -2.909040207199051331e-05 -9.337924188514995928e-05 -7.628348461421441046e-06 -7.325833270620599445e-07 1.494050311867872837e-05 -5.928182389706763245e-06
1.300500000000000000e+03 1.263008596645373983e-04 -6.553351095809678751e-06 -8.333173107369508026e-06 -5.998194279720541150e-05 -1.172812253073617982e-05 4.223311390698688570e-06 7.553717826063442729e-08 7.034268166009127277e-06 -6.730311629585575587e-07
1.350500000000000000e+03 -1.881311158530187932e-04 -6.938532642061360942e-06 1.894193403232391097e-05 -3.611362497543782772e-05 -7.299214074426001869e-05 -1.031564992029731343e-05 -3.015680959414721995e-06 -4.402340101929413534e-06 -6.028223511001775799e-06
1.400500000000000000e+03 -1.157378042725634720e-04 3.369955753330830902e-05 -6.100300863501566449e-06 6.461355046633532816e-05 -4.385461267094451269e-05 -1.413996100957914316e-05 8.976840141338468431e-06 -3.041580150976942831e-06 -2.658991427306927263e-06
1.450500000000000000e+03 -7.124741568430554390e-05 -2.354682533760826741e-06 1.179251986696264958e-05 -1.355073548221651293e-06 -8.568869129740789138e-05 9.203366472279490569e-06 -4.194710964983590125e-06 1.830668553286106407e-06 -1.570954094875809956e-05
1.500500000000000000e+03 -1.133571237038067932e-04 2.771783438786064253e-05 2.664875332699319274e-05 -3.923188902287471714e-05 5.832451567693968655e-05 7.764139954919353260e-06 8.410893988114367148e-08 9.740746944654633444e-06 3.729192910220687365e-06
1.550500000000000000e+03 1.807548568016162935e-04 8.512673295281919717e-06 -8.930512188691410803e-07 5.479844624483091558e-05 -2.152060826159815735e-05 1.712245714521807990e-06 -1.758735069944814602e-05 1.342640066925418791e-06 1.414038207129152337e-06
1.600500000000000000e+03 -3.418670934071486997e-05 6.370875868267257936e-06 1.299352969786972647e-05 -1.646903667850126781e-05 3.467587168595998818e-05 4.059991448795440580e-07 4.822825233040671942e-07 -1.878945482146842634e-06 5.068271331626801534e-06
1.650500000000000000e+03 -8.080862723766580895e-07 -1.077939857688163466e-05 5.238753083046602789e-06 -1.070398110808240445e-05 2.827483229768518915e-05 -8.237368889450579404e-06 -7.573747296300594680e-06 -3.905391001101891060e-06 7.200287376110054422e-06
1.700500000000000000e+03 -3.449424886612438259e-05 -2.187524075715299336e-05 5.473095315973357964e-06 5.047661384980054887e-05 2.780687708213019847e-05 -4.083956975001247344e-06 5.344094909655062523e-06 1.493171451057068466e-06 -4.622472178795995697e-06
1.750500000000000000e+03 3.611005317587163602e-05 2.706164946805206171e-06 -1.951624636485553257e-06 5.793391449475709720e-05 3.323687241140340895e-06 5.507117568059433293e-07 -6.686969831028841504e-06 -9.967754346546214145e-06 -2.551034988561339410e-06
1.800500000000000000e+03 8.747396719719517167e-05 4.538401885827576167e-06 -6.108188232984502904e-06 5.727297999996066105e-05 6.119171986693323174e-06 -1.666973544112535999e-06 2.719479280564141921e-07 7.973524501755844578e-06 -3.232647271211534017e-06
1.850500000000000000e+03 -2.007081540417073108e-05 6.562853496936084231e-06 2.154639591954709180e-07 1.771198026364689015e-05 2.377004658649544276e-06 7.524390856650134403e-06 -6.099477632703756868e-07 8.068245662916357870e-07 -1.681828395057848877e-06
1.900500000000000000e+03 -1.699593544153259008e-05 -9.864415877525568535e-06 9.232358658498777961e-07 -3.734049838752264935e-05 3.867379376839923631e-05 -8.448312378992765682e-06 4.104355183483231228e-06 4.504911628774974260e-06 5.370602947592682167e-06
1.950500000000000000e+03 9.579632519967213851e-05 9.603863810485467910e-06 5.665963554824792591e-06 -2.180423090269537767e-06 -1.187379335651237676e-05 6.724234453420635153e-06 -1.603079801148079410e-06 -4.466165837419016362e-06 5.540575110633468488e-06
2.000500000000000000e+03 1.223015678705495273e-04 1.648343101470321827e-05 -3.472380965130232879e-06 -6.579138298060434156e-06 1.136119824643560146e-05 -4.147695462329093436e-06 9.608979035058405569e-07 5.862083815977417160e-06 1.338480405590995367e-06
2.075500000000000000e+03 2.000116845739553502e-05 -1.005707320608581992e-05 3.817758409536450854e-06 -7.797844776173911869e-06 4.008665937608327886e-06 -6.937157349241531042e-06 -2.354015671320831118e-06 -6.421825292853310018e-07 -4.977012442003980188e-06
2.175500000000000000e+03 2.752317809890833286e-05 -2.491555921067865423e-07 -1.276515134196718878e-07 -1.329492271106315677e-05 -1.339658990356854725e-05 1.320178106468785162e-06 2.280617726946161166e-06 -5.681059918361935687e-06 -9.147540083224677087e-07
2.275500000000000000e+03 8.214970448890105575e-05 2.522936975519764824e-06 -5.497553234920107402e-06 5.828118148778096665e-06 -1.986447469244735222e-05 2.527352807062725067e-06 -2.374129553356470650e-06 -1.861769225822353817e-07 -5.759088751052028374e-07
2.375500000000000000e+03 8.507700241227521233e-05 5.034964175558596450e-06 6.724474914416586056e-06 6.591638214978120238e-06 -4.417564101173809772e-05 -3.493579113174674537e-06 2.155996516880800601e-06 2.121137534478135741e-08 -1.982597900062387667e-06
2.475500000000000000e+03 1.356229241277135994e-04 5.273591889123312445e-07 4.233956721838897679e-06 9.186913484454150558e-06 9.427068156785822981e-06 5.493904949202695924e-06 4.616047904578246588e-07 3.308990862595492633e-06 1.915082766787765676e-06
2.625500000000000000e+03 -2.552971908012990636e-06 -1.672157541361861673e-06 2.793581088324016606e-06 1.467751176299305737e-06 -5.698031393391060044e-06 1.124859190468003705e-06 -7.036054374757767421e-08 2.047771800500294177e-07 1.682342491332926510e-07
2.825500000000000000e+03 -3.757797330986236306e-05 -5.646661710905742379e-06 2.524426836435640405e-08 2.752737215614083392e-05 1.263452502316235053e-05 8.324559637901157192e-07 -1.277171188261065205e-06 -1.913906773190907737e-07 -2.375299011936838616e-06
3.025500000000000000e+03 6.131985270106995046e-05 6.425071840371240808e-07 2.688511578554302634e-06 6.631185947682268189e-06 -1.699862800601385611e-05 7.663403114870282565e-07 -1.557278361559019368e-06 -4.422994296967191666e-06 -9.831248083861847163e-07
3.325500000000000000e+03 8.587490232113458030e-06 4.505893453766410018e-06 -9.209097594056381276e-07 1.138717757472577528e-05 -7.534963906616983036e-06 -3.382711510856191132e-07 2.147669511322955756e-07 -1.679346744688713920e-07 -3.596162471047530194e-07
3.725500000000000000e+03 2.295784679383003007e-05 1.664015761990512251e-06 -2.492041177930428424e-07 -5.820717664541605296e-06 -2.984920977269272800e-06 -1.467243715213955048e-07 -1.104673464630565840e-07 3.584926036489200359e-07 9.450131024552981747e-08
4.125500000000000000e+03 1.539894529358590449e-05 1.399316550934810116e-06 -2.135921440534225970e-07 1.001507896747930088e-05 6.227777723589550691e-06 1.548454550644018803e-06 -5.216963344004443771e-08 5.445314320495723115e-07 -6.607548588582583878e-08
