# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 1.226023908722216188e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.820832088849495687e-07 4.893313302684903517e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.505000000000000000e+02 1.335590435999303372e-07 0.000000000000000000e+00 0.000000000000000000e+00 1.963692258948731020e-07 -1.719251232352860018e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.005000000000000000e+02 1.362852532304646653e-07 0.000000000000000000e+00 0.000000000000000000e+00 -7.757809378315836949e-09 -8.185404695122172643e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.505000000000000000e+02 5.268274333553680595e-08 0.000000000000000000e+00 0.000000000000000000e+00 -6.094279112346048140e-09 1.344004708068427601e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.005000000000000000e+02 -3.233246545417198757e-07 0.000000000000000000e+00 0.000000000000000000e+00 -9.548027756620006459e-08 2.538888624469217147e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.505000000000000000e+02 -6.712277487485199642e-08 0.000000000000000000e+00 0.000000000000000000e+00 -1.929375009202992819e-08 2.794721543841647495e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.005000000000000000e+02 -1.066977146049865345e-07 0.000000000000000000e+00 0.000000000000000000e+00 -4.260365834923977137e-09 6.640758748839266482e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.505000000000000000e+02 -4.216652213886131362e-08 0.000000000000000000e+00 0.000000000000000000e+00 -2.603456059033813183e-09 -4.491663631656362936e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.005000000000000000e+02 -1.006857522639411006e-09 0.000000000000000000e+00 0.000000000000000000e+00 4.087938618307359238e-09 3.288947248264196322e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.505000000000000000e+02 -2.644221164173027665e-08 0.000000000000000000e+00 0.000000000000000000e+00 4.263681376536168953e-08 -5.187667484242795724e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.005000000000000000e+02 -2.468271366578124515e-09 0.000000000000000000e+00 0.000000000000000000e+00 -5.549950055368795443e-08 3.742129365210435725e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.505000000000000000e+02 -1.624931666716209980e-08 0.000000000000000000e+00 0.000000000000000000e+00 7.911679760043567072e-09 -5.724056477857437414e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.005000000000000000e+02 -3.554193781870486140e-08 0.000000000000000000e+00 0.000000000000000000e+00 -2.211833534401759749e-09 7.260252947335349881e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.505000000000000000e+02 -3.127245084294772544e-09 0.000000000000000000e+00 0.000000000000000000e+00 -2.098435954929329573e-08 1.066088583776209228e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.005000000000000000e+02 4.436950764660289395e-09 0.000000000000000000e+00 0.000000000000000000e+00 3.872467841546373067e-09 -7.619806306967268716e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.505000000000000000e+02 -7.917494323662442185e-09 0.000000000000000000e+00 0.000000000000000000e+00 -2.861369193311607579e-09 2.479716741639909810e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.005000000000000000e+02 -3.973169546077773926e-09 0.000000000000000000e+00 0.000000000000000000e+00 1.137437555344490077e-08 -9.055273056067670307e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.505000000000000000e+02 6.960875851431228817e-09 0.000000000000000000e+00 0.000000000000000000e+00 -3.940007252619120664e-10 -3.145776060686114568e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000500000000000000e+03 -1.497860744275028662e-09 0.000000000000000000e+00 0.000000000000000000e+00 -1.038227563736295551e-09 -3.725215477089976755e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050500000000000000e+03 -4.383070538218280846e-09 0.000000000000000000e+00 0.000000000000000000e+00 5.705511250421342295e-09 -3.059930812244218642e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100500000000000000e+03 7.400501696277643773e-09 0.000000000000000000e+00 0.000000000000000000e+00 -4.122704119861266499e-09 -1.366188181543106232e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.150500000000000000e+03 -8.911503701189682206e-09 0.000000000000000000e+00 0.000000000000000000e+00 -3.482147849402988341e-09 3.207081043216581286e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200500000000000000e+03 -1.800216443067465998e-10 0.000000000000000000e+00 0.000000000000000000e+00 5.994294267714179625e-09 5.746783464684114106e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250500000000000000e+03 -1.102354851298372467e-08 0.000000000000000000e+00 0.000000000000000000e+00 -3.491712777561597398e-09 6.176089751457908976e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300500000000000000e+03 -3.780875105677943052e-09 0.000000000000000000e+00 0.000000000000000000e+00 8.139114697332849875e-09 -3.520399387659377411e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.350500000000000000e+03 1.459720694340197787e-08 0.000000000000000000e+00 0.000000000000000000e+00 6.008647093660086844e-10 5.033456300553137502e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400500000000000000e+03 -2.156640947196497550e-08 0.000000000000000000e+00 0.000000000000000000e+00 3.012724437096640142e-09 -1.058392128423772295e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.450500000000000000e+03 -1.820549292523943432e-08 0.000000000000000000e+00 0.000000000000000000e+00 3.217089875549509589e-10 -5.332296823053851747e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500500000000000000e+03 1.553127898429770637e-09 0.000000000000000000e+00 0.000000000000000000e+00 -1.804091925992989447e-10 3.543051968327593385e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550500000000000000e+03 -2.868218725361085693e-09 0.000000000000000000e+00 0.000000000000000000e+00 -4.037981597166860329e-09 -6.483865849079514021e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600500000000000000e+03 4.021489821053679581e-09 0.000000000000000000e+00 0.000000000000000000e+00 1.759994136556576642e-09 1.900945818453612860e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650500000000000000e+03 -1.538044538788451671e-09 0.000000000000000000e+00 0.000000000000000000e+00 1.083500839874320298e-09 -2.251495768040536004e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700500000000000000e+03 7.266218657390008165e-09 0.000000000000000000e+00 0.000000000000000000e+00 -2.190086162864476509e-09 3.117326009151243041e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750500000000000000e+03 -7.501987594467511167e-10 0.000000000000000000e+00 0.000000000000000000e+00 -1.830673003996788625e-09 1.833238021463453150e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800500000000000000e+03 3.566956919799675246e-09 0.000000000000000000e+00 0.000000000000000000e+00 -4.067100472872330468e-09 3.537713566763879770e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.850500000000000000e+03 3.719953324682591760e-09 0.000000000000000000e+00 0.000000000000000000e+00 -1.327269450288653504e-09 -1.279097598979671596e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.900500000000000000e+03 -2.084255399516032525e-09 0.000000000000000000e+00 0.000000000000000000e+00 -4.514358296095733965e-09 1.883789480933521634e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.950500000000000000e+03 3.301876319783527580e-09 0.000000000000000000e+00 0.000000000000000000e+00 -4.172147729381905139e-10 1.304087814603198232e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000500000000000000e+03 -7.650981026921093818e-12 0.000000000000000000e+00 0.000000000000000000e+00 9.630076539337310658e-10 -4.971537934852312130e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.075500000000000000e+03 -2.023562323596311213e-09 0.000000000000000000e+00 0.000000000000000000e+00 -5.089960408279363860e-10 3.152806364129104684e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.175500000000000000e+03 -3.537554547942830202e-09 0.000000000000000000e+00 0.000000000000000000e+00 -6.033360982725640934e-10 -5.814620550584527486e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.275500000000000000e+03 -1.184878612136922014e-09 0.000000000000000000e+00 0.000000000000000000e+00 -5.245032085846820972e-11 2.568662572875087667e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.375500000000000000e+03 -1.068998841055930103e-09 0.000000000000000000e+00 0.000000000000000000e+00 9.211164315806029144e-10 -1.210020003292991930e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.475500000000000000e+03 -9.816597495899699023e-10 0.000000000000000000e+00 0.000000000000000000e+00 1.481875545291954184e-10 4.189684584193689159e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.625500000000000000e+03 -3.496890077931255981e-10 0.000000000000000000e+00 0.000000000000000000e+00 3.693386878320198897e-10 4.668948912428070190e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.825500000000000000e+03 5.838337543900894562e-10 0.000000000000000000e+00 0.000000000000000000e+00 1.359508492501307402e-11 -5.540129885352752186e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.025500000000000000e+03 2.344816232317689076e-09 0.000000000000000000e+00 0.000000000000000000e+00 -4.004702824341051697e-10 -1.100719530534290097e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.325500000000000000e+03 -1.619411103553066882e-10 0.000000000000000000e+00 0.000000000000000000e+00 -9.448381143162899824e-11 1.859175681283082834e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
