# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 9.508355750550628871e-02 2.430371194407034141e-02 -4.227824958404347890e-03 2.806134901385621151e-03 -7.600801511528919828e-03 9.217178089231349222e-03 -1.408513203098904574e-03 3.578235098951509019e-04 9.827647051422437607e-03
1.505000000000000000e+02 2.389375977955561590e-03 9.392922478682938069e-04 -2.728071797256792367e-04 7.074658729462132570e-04 5.906428938287284266e-04 8.613597286294965997e-04 -2.271558429087663477e-04 1.240791289282302634e-04 6.144106768591272531e-04
2.005000000000000000e+02 -3.714665209103158641e-03 -4.725793203090150434e-03 -2.073158920872436757e-03 -6.789939213922488708e-04 7.904556159246445323e-05 -5.159382885431339043e-04 -2.499131505708901109e-06 -2.031932840676353312e-04 1.403234493687857714e-05
2.505000000000000000e+02 1.355908415589023768e-03 -2.182928481206658066e-03 6.623155538147591521e-04 1.005662407247024862e-04 -6.129929816790709611e-04 -2.602614390949705824e-04 2.766815860581588464e-04 -2.782829998426381295e-04 -5.466518462043986612e-05
3.005000000000000000e+02 -1.003440113822915043e-02 -6.131225129251726205e-04 -1.356073098544165407e-03 -6.139879058548007584e-04 6.710497666216961969e-04 -3.081342024213354997e-04 4.409378082921377269e-04 -3.112749819989973107e-04 -3.225128855930972866e-04
3.505000000000000000e+02 -6.840495788444326576e-03 -1.319133014946093953e-03 -1.339013515853311681e-03 -3.971185003957775636e-04 1.107209193411192949e-05 -8.687359466450435318e-04 3.613294303088882085e-04 1.852799187280786662e-05 -7.195855716610753726e-04
4.005000000000000000e+02 -1.555547957688610712e-02 -2.106672284829292936e-03 5.273264017678371517e-04 -6.051491049598960561e-04 -2.775892040919184563e-04 -1.095414169388694110e-03 2.296032202495901220e-04 -2.061133277537707212e-04 -1.458319096049862150e-04
4.505000000000000000e+02 -9.049306189903523479e-03 -2.378258609037483054e-03 -3.220262202716167414e-03 -9.966451856506196565e-04 -3.142809276528093923e-04 -4.722025168255324199e-04 1.296684569081835083e-04 -5.900429726312502116e-04 -5.510717453339107836e-04
5.005000000000000000e+02 -7.925463040698153827e-03 -8.073537134033917199e-04 -1.313685386904368986e-03 5.430957731923083051e-04 2.351214303993900924e-04 -2.419669650192730220e-04 3.139731632803749494e-04 -2.113768168349246137e-04 -4.721219099958640780e-04
5.505000000000000000e+02 -6.476077079484344676e-03 -2.163133841650831737e-03 -2.039419108902691333e-03 -1.311511005614430314e-05 1.880855397424235722e-05 -3.646856570571260022e-04 8.274720442807071612e-05 -5.014607375142101031e-05 -4.633466304961973031e-04
6.005000000000000000e+02 -6.196097813122354407e-03 -2.374128391492646387e-04 1.755241343349292407e-03 1.593622576237245416e-04 3.354799457155585628e-04 -1.328406550570342050e-04 3.382219450349198257e-04 -2.389155358980797356e-04 -1.888388632707479467e-04
6.505000000000000000e+02 -2.458280858478854164e-03 2.888304951483483866e-04 1.564812463145813862e-03 -1.097169837715364062e-04 -5.785337003019312165e-05 -3.156659857022350250e-04 4.023974725478144803e-05 -1.367096150817589039e-04 -1.525655209001454057e-04
7.005000000000000000e+02 -1.521088161201396066e-03 -2.875259127350175670e-04 -3.635274371491215798e-04 2.484106648539667638e-04 4.313832699560007092e-05 -9.101356409090807570e-05 1.311251197678409888e-05 -1.983844325996637903e-04 -1.018380187468639615e-04
7.505000000000000000e+02 7.495824870007457676e-04 4.889804036108776812e-05 8.152470374976067543e-04 -7.753469582609992506e-05 -8.970437510345234818e-05 -4.801620852437320304e-06 1.269874969836388761e-04 -4.300384970415308905e-05 6.017148993794763762e-05
8.005000000000000000e+02 -5.406178857849254071e-04 -1.602984031856708467e-04 -2.708783828141061024e-04 1.456371259370295239e-04 1.253225653176021689e-04 -1.503412728627696777e-05 1.597256099078173043e-05 -1.097859809365968635e-04 1.100396838994016466e-05
8.505000000000000000e+02 -3.877775016618706383e-04 2.199656116623216484e-04 -1.396100628715919115e-04 6.159027771900596633e-05 3.111219794990789238e-05 -6.968822100897293726e-05 3.162959825482157555e-05 -3.954021766245941074e-05 -4.553950489758441995e-05
9.005000000000000000e+02 6.416050474166451077e-04 -2.213287678770960751e-04 1.867411879453096312e-04 -4.370569425582221981e-05 -5.231080225555289573e-05 -7.104411050749396314e-05 -7.413708250837149683e-06 1.789396183942328298e-05 -1.504704353220122203e-05
9.505000000000000000e+02 9.538731332031091803e-04 8.310930445046034595e-05 2.866970516841576416e-04 3.758785781144702174e-05 1.558493683302277730e-05 1.854827170608871527e-05 6.666646825118940969e-06 1.442097256534002950e-06 -5.112470299537370610e-05
1.000500000000000000e+03 -5.862253600532233528e-04 -4.858533981695566367e-04 1.036947933732917460e-04 -5.044882042258762262e-05 7.520655506528895852e-06 -2.459676607855709664e-05 6.197766332918357981e-05 -2.567100090185234906e-05 -4.610918429442215929e-05
1.050500000000000000e+03 -8.693890930502409407e-04 -4.621473346459606195e-04 3.222128030893738624e-04 -1.020562998390821925e-04 4.026908057718118854e-05 -4.873808141118522719e-05 3.970783970164114409e-05 -2.022080566817249258e-06 -4.587190740407360093e-05
