# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 -5.763564901871349376e-05 0.000000000000000000e+00 0.000000000000000000e+00 -5.935821175610958338e-06 7.300501792085331754e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.505000000000000000e+02 -5.829002281051196650e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.899957948155223304e-05 -2.175729350375868305e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.005000000000000000e+02 1.355174467160740815e-04 0.000000000000000000e+00 0.000000000000000000e+00 3.566871322256677712e-06 4.893946109845118960e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.505000000000000000e+02 1.282485955483203283e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.301224404259627729e-05 4.214504989859864906e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.005000000000000000e+02 -8.831294856922095081e-04 0.000000000000000000e+00 0.000000000000000000e+00 -4.563169689547643651e-05 2.441187850594682556e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.505000000000000000e+02 4.298948362302918054e-03 0.000000000000000000e+00 0.000000000000000000e+00 3.119227819679616821e-06 -5.102657661261165750e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.005000000000000000e+02 3.069602111546815889e-03 0.000000000000000000e+00 0.000000000000000000e+00 8.159853380533539744e-05 -1.105720473400799740e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.505000000000000000e+02 -7.345403803492654270e-04 0.000000000000000000e+00 0.000000000000000000e+00 -1.745595335566537407e-04 7.853571348296012081e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.005000000000000000e+02 -1.105877735732233285e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.935682802810512716e-06 -9.626728243429333797e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.505000000000000000e+02 1.236762256477218561e-03 0.000000000000000000e+00 0.000000000000000000e+00 -4.044692714627636632e-07 -4.341300226628104768e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.005000000000000000e+02 -2.866358973865748626e-04 0.000000000000000000e+00 0.000000000000000000e+00 -4.043349248151411701e-05 -2.562747956894774882e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.505000000000000000e+02 2.266032339079883818e-03 0.000000000000000000e+00 0.000000000000000000e+00 4.522426988717480952e-05 4.478463250817477971e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.005000000000000000e+02 6.076063905670884245e-03 0.000000000000000000e+00 0.000000000000000000e+00 3.096351143525936369e-04 2.063824870726534946e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.505000000000000000e+02 -6.003675793832901307e-03 0.000000000000000000e+00 0.000000000000000000e+00 -2.802875521784858102e-06 -1.390136008003191683e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.005000000000000000e+02 5.337180001370625364e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.316595698334637631e-05 -7.699822973637545525e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.505000000000000000e+02 4.919964420405279794e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.136807914943589276e-04 2.188652261748626920e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.005000000000000000e+02 7.438660200691793629e-03 0.000000000000000000e+00 0.000000000000000000e+00 -9.963896355967856292e-06 4.192842013155529383e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.505000000000000000e+02 -7.603736753007582982e-04 0.000000000000000000e+00 0.000000000000000000e+00 -3.121958748384255942e-05 -2.051320793154179085e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000500000000000000e+03 -5.132336659454041217e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.279260275753188404e-05 -9.319080770468263122e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050500000000000000e+03 8.410537197529519265e-04 0.000000000000000000e+00 0.000000000000000000e+00 -3.042866599049161730e-05 -1.714052943336219178e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100500000000000000e+03 3.629602468153023728e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.207090106412075594e-05 7.004486212052948857e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.150500000000000000e+03 2.015524000799364356e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.187259203887020735e-04 -1.703284199506723809e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200500000000000000e+03 -3.461030993280255711e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.227927182678087144e-04 -5.754843835695648579e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250500000000000000e+03 6.072958589287806748e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.871847755226406149e-04 -4.523091624090286311e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300500000000000000e+03 -1.383585674413654806e-03 0.000000000000000000e+00 0.000000000000000000e+00 -6.611173673832456711e-05 -7.021191740565077772e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.350500000000000000e+03 -1.789060818056563071e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.126715305052979184e-04 1.160532227545547598e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400500000000000000e+03 1.021380527568451803e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.581057465261132976e-04 -8.551401549613940058e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.450500000000000000e+03 -8.093044179726848614e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.445381956283745743e-04 2.272818230340518215e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
