# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 -1.692330678448894640e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.472955132308286534e-06 7.323545850577952964e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.505000000000000000e+02 -5.193131935623667220e-03 0.000000000000000000e+00 0.000000000000000000e+00 -3.405986809500885466e-05 7.536937817039726249e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.005000000000000000e+02 -7.568907864836030633e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.677650292709508305e-05 5.655887832782535707e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.505000000000000000e+02 -5.593007758671230539e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.251595875760025953e-05 -7.120619832696980557e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.005000000000000000e+02 -6.884893048251866481e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.834033194205242500e-05 -7.465577127296496465e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.505000000000000000e+02 -7.172163318644453334e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.168712832065898523e-04 1.168391600881593932e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.005000000000000000e+02 -8.386530933450408662e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.165658752102004074e-04 7.426437029424354317e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.505000000000000000e+02 -9.906740026878113267e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.146797047512657624e-05 -3.345675642710844988e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.005000000000000000e+02 -1.492967376973680822e-02 0.000000000000000000e+00 0.000000000000000000e+00 -1.045403514046030059e-04 -1.980279322886977319e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.505000000000000000e+02 -8.735076471453303085e-03 0.000000000000000000e+00 0.000000000000000000e+00 -1.362751028450059410e-04 8.696004337954025621e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.005000000000000000e+02 -1.329097357311021486e-02 0.000000000000000000e+00 0.000000000000000000e+00 -5.937822645044658979e-05 -1.627165075858227439e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.505000000000000000e+02 -7.577823918932309610e-03 0.000000000000000000e+00 0.000000000000000000e+00 -6.292150746373654873e-05 8.778577256225493324e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.005000000000000000e+02 -1.732268302932342408e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.324383409934619343e-05 1.446196738121446630e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.505000000000000000e+02 -1.639826148334556921e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.089343258670586723e-04 -1.686320928414066758e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.005000000000000000e+02 -2.785883783590204291e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.080277222592883617e-04 -4.282857609111571993e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.505000000000000000e+02 -2.688118251981090612e-02 0.000000000000000000e+00 0.000000000000000000e+00 -3.967152296438330962e-04 1.839235739813160160e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.005000000000000000e+02 -1.893839186728057608e-02 0.000000000000000000e+00 0.000000000000000000e+00 -2.634833277904275167e-04 -3.164364872204533446e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.505000000000000000e+02 -3.573544376956454965e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.869249158417235729e-04 7.010306859226030606e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000500000000000000e+03 -1.714909326701178488e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.018750767882640852e-06 4.939896425915281413e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050500000000000000e+03 -2.429670233204891602e-02 0.000000000000000000e+00 0.000000000000000000e+00 -2.486899747692658644e-04 2.621741119450634629e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100500000000000000e+03 -2.629927978015516102e-02 0.000000000000000000e+00 0.000000000000000000e+00 -2.624829838549960336e-04 -1.802625682834577091e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.150500000000000000e+03 -1.806520256259834534e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.763685493446619256e-04 3.135576271298762480e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200500000000000000e+03 -2.617042150045835805e-02 0.000000000000000000e+00 0.000000000000000000e+00 -2.885915744045202476e-04 -1.368372642555628032e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250500000000000000e+03 -1.394121101502243144e-02 0.000000000000000000e+00 0.000000000000000000e+00 -3.443712393249279309e-04 -3.343874653891675198e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300500000000000000e+03 -2.549745055971884208e-02 0.000000000000000000e+00 0.000000000000000000e+00 -1.257783604445528137e-04 3.796747778031324318e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.350500000000000000e+03 -2.479744462884768755e-02 0.000000000000000000e+00 0.000000000000000000e+00 -4.655352840700805492e-04 3.109183249952253729e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400500000000000000e+03 -2.999379207744826137e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.803586581327155990e-04 3.061039614190879976e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.450500000000000000e+03 -3.026651385733307789e-02 0.000000000000000000e+00 0.000000000000000000e+00 -4.616894121648495498e-04 -1.754980564739422278e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500500000000000000e+03 -2.198985714396219787e-02 0.000000000000000000e+00 0.000000000000000000e+00 -1.060821788662835653e-04 3.398465272672823918e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550500000000000000e+03 -3.053989155587960233e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.402648876106931677e-04 -3.436655749610142345e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600500000000000000e+03 -9.651231133997467335e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.361350970374342506e-04 1.481650012714190139e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
