# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150	err_150
350.5	-2.054462e-06	2.009025e-05	1.474357e-05	8.831844e-06	7.996533e-06	7.488209e-06
400.5	3.526720e-05	1.617770e-05	9.311158e-06	7.011608e-06	4.093056e-06	5.795111e-06
450.5	4.261448e-06	1.435251e-05	-8.991454e-06	5.580385e-06	-6.211499e-06	4.780427e-06
500.5	-7.876621e-06	1.214460e-05	4.326402e-06	4.902914e-06	5.984398e-07	3.862608e-06
550.5	5.704461e-06	1.119659e-05	7.462827e-07	4.409664e-06	4.102538e-06	3.422928e-06
600.5	5.732375e-08	1.010781e-05	-1.577389e-06	3.917963e-06	-1.415283e-06	3.126860e-06
650.5	-6.603418e-06	9.200911e-06	2.393758e-06	3.499128e-06	-3.202699e-06	2.821502e-06
700.5	5.719008e-06	8.854002e-06	2.446752e-06	3.346048e-06	1.954309e-06	2.599112e-06
750.5	-7.543836e-06	7.694541e-06	2.477391e-06	3.076746e-06	-3.628248e-08	2.382335e-06
800.5	-3.485993e-06	7.616114e-06	5.174511e-07	2.880974e-06	1.033598e-06	2.240556e-06
850.5	2.120610e-07	7.261440e-06	1.303398e-06	2.568886e-06	-1.993581e-06	2.017275e-06
900.5	2.395948e-06	7.086775e-06	1.510192e-06	2.594909e-06	8.016483e-08	1.810992e-06
950.5	-1.436985e-06	6.869787e-06	-3.613758e-07	2.389513e-06	-1.423361e-06	1.757829e-06
1000.5	5.947743e-06	6.122233e-06	4.162630e-06	2.330762e-06	1.838612e-06	1.598532e-06
1050.5	-1.282782e-06	6.080102e-06	3.596079e-06	2.080121e-06	-1.235337e-06	1.603029e-06
1100.5	3.482028e-06	6.088447e-06	4.411396e-07	2.122835e-06	1.195751e-06	1.497327e-06
1150.5	-7.105985e-06	5.957100e-06	2.067442e-06	2.115007e-06	-4.619219e-07	1.508339e-06
1200.5	6.602551e-07	5.751903e-06	2.552921e-06	1.892515e-06	8.137280e-07	1.404066e-06
1250.5	5.008974e-06	5.613260e-06	-1.061229e-06	1.986213e-06	-1.083616e-06	1.374990e-06
1300.5	-2.370180e-06	5.466717e-06	3.150733e-06	1.913109e-06	2.483153e-07	1.273591e-06
1350.5	5.568829e-06	5.439368e-06	2.744253e-06	1.865803e-06	-1.678741e-06	1.231582e-06
1400.5	-8.481195e-06	5.536762e-06	-1.324959e-06	1.796000e-06	4.431059e-07	1.214373e-06
1450.5	-9.167109e-06	5.251371e-06	3.096075e-07	1.689464e-06	1.036146e-06	1.196517e-06
1500.5	2.027553e-06	5.427398e-06	-1.082758e-06	1.802405e-06	5.404763e-07	1.179966e-06
