# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150	err_150
350.5	-1.729583e-05	2.283335e-05	-1.280695e-05	1.648293e-05	-4.518453e-06	1.599688e-05
400.5	4.297751e-05	1.779896e-05	2.434381e-05	1.322297e-05	1.893354e-05	1.257275e-05
450.5	3.339629e-05	1.455542e-05	-3.049713e-06	1.013484e-05	-9.831638e-07	9.419458e-06
500.5	-1.589581e-05	1.143584e-05	-7.847494e-06	6.572113e-06	-8.266967e-06	6.265667e-06
550.5	-8.716951e-06	9.713628e-06	-2.868076e-06	5.647843e-06	7.643669e-07	5.323488e-06
600.5	2.965261e-06	9.699934e-06	6.221863e-06	6.445864e-06	-2.356158e-06	6.174578e-06
650.5	7.500589e-06	9.496108e-06	-1.537506e-06	6.712117e-06	7.599580e-06	6.369905e-06
700.5	-3.653541e-06	8.830481e-06	5.675601e-06	5.964062e-06	1.831528e-06	5.656898e-06
750.5	3.309249e-06	7.669845e-06	-1.669569e-06	4.847340e-06	-2.215341e-06	4.413233e-06
800.5	4.035579e-07	6.546005e-06	4.935470e-06	3.709277e-06	1.721861e-06	3.294099e-06
850.5	-4.753762e-06	6.636913e-06	-2.410104e-07	3.272642e-06	2.590355e-06	2.851968e-06
900.5	-2.159467e-07	6.320931e-06	-3.072440e-06	3.593425e-06	-3.091204e-07	3.195725e-06
950.5	2.340112e-06	6.151306e-06	7.803035e-07	3.601807e-06	-4.653038e-07	3.369888e-06
1000.5	-6.253001e-06	5.619777e-06	-1.053052e-05	3.347423e-06	-9.873013e-06	3.212129e-06
1050.5	1.944303e-06	5.277848e-06	-2.221129e-07	2.962620e-06	1.574508e-06	2.758635e-06
1100.5	1.894800e-06	4.875278e-06	-3.574781e-06	2.426892e-06	-7.893662e-07	2.116055e-06
1150.5	3.683674e-06	4.547232e-06	2.245977e-06	2.159918e-06	-1.229454e-06	1.798760e-06
1200.5	-6.232617e-06	4.597221e-06	-4.887255e-06	2.073374e-06	-2.024095e-07	1.789848e-06
1250.5	5.548677e-06	4.537826e-06	4.722058e-07	2.151868e-06	-2.581728e-07	1.858561e-06
1300.5	6.683194e-07	4.585059e-06	7.455065e-07	2.189706e-06	-4.801918e-08	1.888749e-06
1350.5	2.554347e-06	4.659475e-06	-8.750936e-07	1.983636e-06	-1.746082e-06	1.679016e-06
1400.5	2.523612e-06	4.174312e-06	8.011867e-08	1.822325e-06	9.182197e-07	1.442038e-06
1450.5	4.063171e-06	4.034876e-06	9.732826e-07	1.648445e-06	-2.410605e-07	1.277294e-06
1500.5	-1.112470e-05	4.058095e-06	-5.122164e-06	1.558067e-06	-1.522497e-06	1.218999e-06
1550.5	-2.307091e-06	4.099291e-06	1.303459e-06	1.627188e-06	1.777078e-06	1.261397e-06
1600.5	2.822159e-06	3.997456e-06	1.706742e-07	1.558134e-06	-7.375088e-07	1.204959e-06
1650.5	6.813592e-07	3.897409e-06	-7.747528e-08	1.517529e-06	3.059142e-08	1.174369e-06
1700.5	3.162364e-06	3.971707e-06	1.289136e-06	1.422321e-06	-9.995503e-07	1.081820e-06
1750.5	1.700716e-06	3.598239e-06	2.704751e-06	1.328588e-06	-1.883087e-06	9.586033e-07
1800.5	-1.490560e-07	3.781419e-06	4.271376e-07	1.310742e-06	1.999598e-07	9.614576e-07
1850.5	-1.744463e-06	3.924718e-06	-2.255003e-06	1.329803e-06	-1.613895e-06	9.305967e-07
1900.5	2.348756e-06	3.758038e-06	7.930125e-07	1.342468e-06	9.607350e-07	9.602961e-07
1950.5	-2.914442e-06	3.801851e-06	1.423372e-06	1.327085e-06	2.829695e-07	8.846965e-07
2000.5	1.002245e-06	3.783546e-06	1.138982e-06	1.229726e-06	-4.649086e-07	8.216820e-07
2075.5	-5.404460e-07	2.439571e-06	1.125126e-06	8.025236e-07	-1.317203e-07	5.152383e-07
2175.5	8.754636e-07	2.485027e-06	-7.985795e-07	7.839334e-07	7.765269e-07	5.147267e-07
2275.5	2.990748e-06	2.423484e-06	-9.273310e-07	7.369943e-07	-1.030245e-06	5.017834e-07
2375.5	-4.207766e-06	2.382382e-06	3.021235e-07	7.574435e-07	1.153611e-06	4.733815e-07
2475.5	2.476729e-07	2.435657e-06	-9.187690e-07	7.320094e-07	-2.070120e-07	4.662024e-07
2625.5	-4.189501e-06	1.712881e-06	-4.081846e-07	5.080047e-07	-4.308981e-07	3.029295e-07
2825.5	1.364340e-06	1.771286e-06	6.734395e-07	5.110847e-07	-2.558092e-07	3.171370e-07
3025.5	-4.318478e-07	1.893023e-06	-1.329554e-06	5.256780e-07	-5.269585e-07	3.012582e-07
3325.5	-1.321540e-06	1.367670e-06	-2.004490e-08	3.836145e-07	-2.434962e-07	2.023021e-07
3725.5	1.494474e-06	1.613933e-06	-2.699603e-07	4.204298e-07	3.065105e-08	2.201272e-07
4125.5	-3.416797e-06	1.849783e-06	1.253730e-08	4.526288e-07	1.589763e-07	2.255849e-07
4525.5	2.300237e-06	2.157935e-06	6.105764e-08	4.849835e-07	-1.005884e-07	2.358613e-07
4925.5	-4.580334e-06	2.570454e-06	1.253971e-06	5.538477e-07	9.256904e-08	2.555222e-07
5325.5	1.136554e-06	2.887791e-06	-1.279931e-06	6.234034e-07	-3.169547e-07	2.767690e-07
5725.5	1.513313e-06	3.970756e-06	1.353550e-07	8.138991e-07	8.151332e-07	3.018348e-07
6125.5	-3.434547e-07	4.757418e-06	-1.521243e-06	9.280241e-07	3.041483e-07	3.447490e-07
6725.5	2.787249e-06	5.000102e-06	2.450583e-07	7.912757e-07	5.116987e-08	2.769959e-07
7525.5	1.147105e-06	9.368793e-06	-1.128003e-06	1.277725e-06	1.153561e-07	3.608236e-07
