# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150x98	err_150x98	Cl_150	err_150
350.5	8.662417e-04	3.638086e-04	-1.354937e-04	2.284822e-04	7.396461e-04	3.781932e-04	-1.436859e-04	2.325258e-04
400.5	-1.407473e-04	2.569292e-04	-1.761716e-05	1.529560e-04	-1.100650e-04	2.612809e-04	-4.916079e-05	1.490038e-04
450.5	-7.155490e-05	2.096731e-04	-6.565885e-06	1.154563e-04	-6.957447e-05	2.074493e-04	1.331504e-05	1.147684e-04
500.5	-4.166733e-04	1.858653e-04	-1.237670e-04	1.032690e-04	-3.241710e-04	1.830152e-04	-1.186032e-04	1.004949e-04
550.5	1.984098e-04	1.501630e-04	1.055176e-04	8.612977e-05	2.805891e-04	1.488130e-04	1.171099e-04	8.433269e-05
600.5	9.679476e-05	1.271576e-04	3.631203e-05	6.919679e-05	1.153768e-04	1.263103e-04	4.512332e-05	6.784290e-05
650.5	-8.637707e-06	9.734376e-05	3.379656e-05	5.526703e-05	-4.092680e-05	9.650065e-05	4.557297e-05	5.389363e-05
700.5	9.161380e-05	8.699649e-05	-5.482717e-05	4.729714e-05	6.942331e-05	8.712181e-05	-3.373968e-05	4.631077e-05
750.5	1.019896e-05	7.759731e-05	6.412327e-06	4.430386e-05	1.094258e-05	7.635659e-05	-6.620723e-06	4.351395e-05
800.5	-6.266453e-05	7.675488e-05	-2.740485e-05	4.120644e-05	-5.276447e-05	7.644432e-05	-2.481512e-05	4.054735e-05
850.5	1.473648e-04	6.798769e-05	9.851899e-06	3.569001e-05	1.582424e-04	6.656582e-05	-1.501273e-05	3.485661e-05
900.5	-7.512270e-05	5.517655e-05	-1.377523e-05	2.893852e-05	-7.380461e-05	5.395448e-05	-1.600392e-05	2.821137e-05
950.5	-1.504565e-05	4.303529e-05	-3.676898e-05	2.358436e-05	3.186935e-06	4.160305e-05	-3.458360e-05	2.288275e-05
1000.5	6.454653e-07	3.505185e-05	5.248732e-05	1.844791e-05	1.430312e-05	3.407182e-05	4.959018e-05	1.786082e-05
1050.5	-4.338678e-06	3.376235e-05	1.387615e-05	1.720286e-05	-5.416071e-07	3.244876e-05	5.433619e-06	1.654326e-05
1100.5	-1.494488e-05	3.192791e-05	-1.371518e-05	1.636681e-05	-1.689479e-06	3.066040e-05	-8.368951e-06	1.627556e-05
1150.5	2.529964e-05	2.881602e-05	5.323140e-06	1.466425e-05	1.046426e-05	2.776447e-05	4.337539e-06	1.422884e-05
1200.5	1.088017e-05	2.497935e-05	-9.969791e-06	1.310615e-05	1.340010e-05	2.431002e-05	-6.915332e-06	1.254391e-05
1250.5	1.920946e-05	2.293283e-05	1.194722e-05	1.104444e-05	1.103499e-05	2.203544e-05	1.305925e-05	1.076433e-05
1300.5	-6.193436e-06	2.042685e-05	-1.206524e-05	9.628721e-06	-9.074927e-06	1.941734e-05	-1.049516e-05	9.158492e-06
1350.5	2.391772e-05	1.842096e-05	1.274123e-05	9.621159e-06	2.243501e-05	1.789986e-05	1.132075e-05	9.109345e-06
