# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150	err_150
350.5	-8.578261e-06	2.138271e-05	4.129853e-06	1.194876e-05	-5.453620e-06	1.362599e-05
400.5	8.790165e-06	1.856568e-05	5.927952e-06	1.073395e-05	1.813054e-05	1.137702e-05
450.5	-1.962344e-05	1.483120e-05	1.397208e-05	9.146223e-06	1.675864e-05	9.400670e-06
500.5	1.755469e-05	1.424640e-05	1.053017e-05	7.641366e-06	5.562931e-06	8.275336e-06
550.5	1.695587e-05	1.217093e-05	4.888394e-06	6.791931e-06	3.647823e-06	7.781339e-06
600.5	8.050425e-06	1.187318e-05	4.529326e-06	6.276275e-06	-9.674082e-06	6.820406e-06
650.5	-1.884362e-05	1.074681e-05	5.807142e-07	5.771612e-06	-9.161662e-06	6.431675e-06
700.5	1.127516e-05	9.844410e-06	8.105028e-06	5.777243e-06	1.991480e-06	5.918304e-06
750.5	8.719596e-06	9.176054e-06	-1.013118e-05	5.415888e-06	-1.415201e-06	5.729121e-06
800.5	-5.604722e-06	9.257623e-06	4.605380e-06	4.814135e-06	4.421453e-06	5.196314e-06
850.5	8.549055e-06	9.127047e-06	-1.380606e-06	4.763093e-06	-3.995238e-07	4.865066e-06
900.5	-9.599941e-07	7.803605e-06	3.055228e-06	4.674611e-06	-5.222142e-06	4.806872e-06
950.5	6.903793e-07	8.513788e-06	-5.988609e-06	4.510714e-06	4.127904e-06	4.716249e-06
1000.5	2.674603e-06	8.066168e-06	6.574996e-06	4.096529e-06	-2.376278e-06	4.482887e-06
1050.5	-2.493886e-06	8.187132e-06	-3.827422e-06	4.156511e-06	1.612160e-06	4.158765e-06
1100.5	-5.629103e-06	7.735233e-06	4.885704e-07	4.041442e-06	2.297042e-06	4.200165e-06
1150.5	-7.448064e-06	7.492537e-06	3.590301e-06	3.959819e-06	-5.910908e-06	4.061817e-06
1200.5	-7.741492e-06	7.529609e-06	-2.185035e-06	3.889490e-06	2.450039e-06	4.225876e-06
1250.5	-9.917507e-06	7.298238e-06	8.341085e-06	3.689874e-06	3.472955e-06	3.949163e-06
1300.5	-3.061893e-06	7.499927e-06	-3.356896e-06	3.706436e-06	-1.586015e-06	3.855808e-06
1350.5	-3.843230e-07	6.798381e-06	6.723040e-07	3.777811e-06	-3.712468e-06	3.734796e-06
1400.5	-7.314865e-06	7.184821e-06	6.712284e-07	3.549887e-06	-4.364239e-06	3.621612e-06
1450.5	5.495613e-06	7.190124e-06	-2.173113e-06	3.404251e-06	-6.876472e-06	3.595878e-06
1500.5	-6.181376e-06	7.114664e-06	1.866560e-06	3.438516e-06	1.671790e-06	3.450835e-06
1550.5	-7.266001e-06	6.990624e-06	-1.877833e-06	3.536256e-06	-2.558368e-06	3.581739e-06
1600.5	-9.155823e-06	6.981451e-06	3.586230e-07	3.501894e-06	-5.222558e-07	3.371989e-06
1650.5	-8.588000e-06	6.605164e-06	4.237975e-06	3.269149e-06	-7.992125e-08	3.268591e-06
1700.5	3.820779e-06	7.082147e-06	-3.334919e-06	3.370312e-06	-7.358896e-06	3.525297e-06
1750.5	1.163857e-05	7.124248e-06	-2.496170e-06	3.339043e-06	-2.652643e-06	3.265894e-06
1800.5	-7.548978e-06	6.621095e-06	4.772851e-06	3.252034e-06	1.323584e-06	3.275681e-06
1850.5	-1.582611e-06	6.923658e-06	2.459190e-07	3.388256e-06	3.445463e-06	3.135971e-06
1900.5	-5.873915e-06	6.598299e-06	1.588247e-06	3.338870e-06	-4.950310e-06	3.156353e-06
1950.5	8.443134e-06	6.755692e-06	-4.431215e-06	3.286877e-06	-4.282789e-06	3.289046e-06
2000.5	-8.090732e-07	6.926307e-06	1.553429e-06	3.244688e-06	-3.193273e-06	3.163206e-06
2075.5	1.777450e-08	4.893671e-06	-6.364849e-07	2.207101e-06	-2.324340e-07	2.128869e-06
2175.5	-5.047187e-06	4.485397e-06	-3.638172e-06	2.242043e-06	-3.656940e-06	2.056580e-06
2275.5	-5.790028e-06	4.815992e-06	-4.092019e-07	2.218868e-06	1.733423e-07	2.126713e-06
2375.5	1.050616e-05	4.916076e-06	6.598461e-07	2.337016e-06	1.826636e-06	2.070862e-06
2475.5	-5.699824e-06	4.792628e-06	-8.648628e-09	2.293849e-06	2.582019e-06	1.960363e-06
2625.5	-3.002432e-06	3.452266e-06	-2.062144e-07	1.569098e-06	-1.220846e-06	1.356112e-06
2825.5	3.234956e-06	3.546273e-06	-3.403853e-07	1.636904e-06	8.064369e-07	1.381274e-06
3025.5	7.018500e-06	3.924891e-06	-9.173348e-07	1.628835e-06	2.462762e-07	1.348549e-06
3325.5	-2.946774e-06	3.051186e-06	2.770773e-07	1.206636e-06	-1.051304e-06	9.961627e-07
3725.5	4.503149e-06	3.309544e-06	3.812657e-07	1.328222e-06	3.267049e-07	9.943371e-07
4125.5	-5.290987e-06	3.847844e-06	-2.537990e-06	1.455948e-06	-1.011879e-06	1.106549e-06
4525.5	3.977415e-06	4.955844e-06	6.317287e-07	1.848517e-06	-2.028367e-06	1.390994e-06
4925.5	-2.365059e-06	6.009160e-06	5.683471e-07	2.115464e-06	2.530026e-07	1.473053e-06
5325.5	4.217916e-06	7.380804e-06	-4.343921e-06	2.506254e-06	3.239746e-07	1.482529e-06
5725.5	-2.550401e-06	8.600267e-06	3.645375e-06	2.602628e-06	-2.281338e-06	1.487045e-06
6125.5	-1.340344e-05	1.181390e-05	5.472088e-06	3.107110e-06	-1.625421e-06	1.655619e-06
6725.5	-1.980924e-05	1.261888e-05	1.514738e-06	3.057128e-06	-2.847431e-06	1.458151e-06
7525.5	1.549214e-05	2.299578e-05	4.350115e-06	4.774356e-06	7.914225e-07	1.873768e-06
