# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150	err_150
350.5	9.462209e-04	6.096616e-05	8.928427e-04	4.397118e-05	8.616306e-04	4.732016e-05
400.5	8.435634e-04	5.321967e-05	8.478412e-04	3.727209e-05	8.571152e-04	3.862449e-05
450.5	5.328747e-04	3.460844e-05	5.205610e-04	2.376445e-05	4.921633e-04	2.559714e-05
500.5	2.053948e-04	2.169700e-05	2.046547e-04	1.388020e-05	2.063342e-04	1.510973e-05
550.5	1.538771e-04	1.798308e-05	1.476943e-04	1.233206e-05	1.546159e-04	1.312670e-05
600.5	3.271773e-04	2.241885e-05	3.219122e-04	1.513329e-05	3.014571e-04	1.573221e-05
650.5	4.951558e-04	2.436724e-05	4.522216e-04	1.720753e-05	4.378871e-04	1.826383e-05
700.5	4.703452e-04	2.289440e-05	4.612612e-04	1.594338e-05	4.709246e-04	1.729172e-05
750.5	3.172486e-04	1.785956e-05	3.102837e-04	1.172884e-05	3.047000e-04	1.241243e-05
800.5	1.668365e-04	1.282109e-05	1.549999e-04	8.033044e-06	1.502489e-04	8.646506e-06
850.5	1.111218e-04	1.159873e-05	1.117733e-04	6.885741e-06	1.092589e-04	7.837270e-06
900.5	2.231695e-04	1.335628e-05	1.850962e-04	8.248734e-06	1.854475e-04	8.743371e-06
950.5	2.414744e-04	1.423555e-05	2.598747e-04	9.308219e-06	2.611633e-04	9.695868e-06
1000.5	2.714553e-04	1.354400e-05	2.610892e-04	8.920613e-06	2.482074e-04	9.550999e-06
1050.5	1.566503e-04	1.149499e-05	1.721555e-04	7.495036e-06	1.736790e-04	8.033556e-06
1100.5	9.985905e-05	9.387845e-06	1.028929e-04	5.778817e-06	9.758765e-05	6.226292e-06
1150.5	6.551060e-05	8.295581e-06	6.246937e-05	4.609858e-06	6.394347e-05	5.257212e-06
1200.5	7.998999e-05	8.648353e-06	7.214461e-05	5.008579e-06	6.175685e-05	5.297726e-06
1250.5	9.359690e-05	9.278559e-06	1.117486e-04	5.431053e-06	1.114926e-04	5.808024e-06
1300.5	1.192993e-04	8.851846e-06	1.124016e-04	5.314302e-06	1.068068e-04	5.894091e-06
1350.5	8.814649e-05	8.292686e-06	7.950021e-05	4.941810e-06	8.940434e-05	5.170132e-06
1400.5	5.497026e-05	7.760030e-06	4.888952e-05	4.042807e-06	4.919257e-05	4.423436e-06
1450.5	3.729638e-05	7.366927e-06	3.827104e-05	3.876219e-06	3.009850e-05	4.222751e-06
1500.5	3.921701e-05	7.734550e-06	2.754242e-05	3.956082e-06	3.320140e-05	3.997915e-06
1550.5	4.198017e-05	7.215993e-06	4.933953e-05	3.810508e-06	4.193930e-05	4.205248e-06
1600.5	5.081884e-05	7.420434e-06	4.768895e-05	3.952827e-06	5.069375e-05	4.150325e-06
1650.5	4.430381e-05	7.385871e-06	3.791256e-05	3.931998e-06	3.757322e-05	4.035614e-06
1700.5	4.013757e-05	7.036636e-06	2.638748e-05	3.805436e-06	1.825605e-05	3.671013e-06
