# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150	err_150
350.5	1.077655e-01	1.200434e-02	9.231111e-02	8.178834e-03	1.050257e-01	1.407655e-02
400.5	5.640103e-02	6.548579e-03	6.390535e-02	4.521785e-03	5.641291e-02	7.733809e-03
450.5	6.245906e-02	4.376250e-03	5.087067e-02	3.141632e-03	4.664571e-02	5.317790e-03
500.5	5.598011e-02	3.373212e-03	5.398280e-02	2.588328e-03	5.139687e-02	3.901347e-03
550.5	5.436199e-02	2.529684e-03	5.318232e-02	1.966880e-03	5.184620e-02	2.808830e-03
600.5	3.827379e-02	1.452201e-03	3.834200e-02	1.337266e-03	3.874265e-02	1.947152e-03
650.5	2.750005e-02	9.987842e-04	2.737767e-02	9.147883e-04	2.604019e-02	1.355530e-03
700.5	2.384660e-02	8.077173e-04	2.396018e-02	7.461710e-04	2.497144e-02	1.052450e-03
750.5	2.515214e-02	7.784674e-04	2.466042e-02	6.763466e-04	2.462695e-02	8.669324e-04
800.5	2.424849e-02	7.158807e-04	2.367799e-02	6.054202e-04	2.305153e-02	7.298465e-04
850.5	2.113180e-02	5.940714e-04	2.087146e-02	5.014307e-04	2.046713e-02	6.072655e-04
900.5	1.467551e-02	4.113725e-04	1.455218e-02	3.577106e-04	1.487100e-02	4.410230e-04
950.5	9.244955e-03	2.730841e-04	9.473511e-03	2.438270e-04	1.010322e-02	3.187938e-04
1000.5	7.073067e-03	1.950827e-04	7.072673e-03	1.756609e-04	7.196000e-03	2.348804e-04
1050.5	6.288306e-03	1.780270e-04	6.290440e-03	1.581847e-04	6.328013e-03	1.985402e-04
1100.5	6.459274e-03	1.604285e-04	6.308150e-03	1.448219e-04	6.172999e-03	1.825362e-04
1150.5	5.950691e-03	1.439384e-04	5.933816e-03	1.292203e-04	5.876045e-03	1.569689e-04
1200.5	4.647681e-03	1.134032e-04	4.554856e-03	1.037615e-04	4.504385e-03	1.321592e-04
1250.5	3.500620e-03	8.732089e-05	3.442996e-03	8.079789e-05	3.356618e-03	1.032955e-04
1300.5	2.830105e-03	7.180909e-05	2.750718e-03	6.618741e-05	2.695638e-03	8.498739e-05
1350.5	2.772175e-03	6.453354e-05	2.654324e-03	6.088287e-05	2.656408e-03	7.983644e-05
1400.5	2.738194e-03	6.132902e-05	2.685059e-03	5.656603e-05	2.706686e-03	6.850544e-05
1450.5	2.557667e-03	5.511597e-05	2.505821e-03	4.910193e-05	2.490267e-03	6.315435e-05
1500.5	1.997558e-03	4.680974e-05	1.981506e-03	4.293742e-05	1.965760e-03	5.496472e-05
1550.5	1.515897e-03	3.684493e-05	1.479702e-03	3.407269e-05	1.464456e-03	4.509458e-05
1600.5	1.174778e-03	2.922643e-05	1.126540e-03	2.721897e-05	1.140938e-03	3.601264e-05
1650.5	1.004802e-03	2.594154e-05	9.589755e-04	2.429675e-05	9.380334e-04	3.292329e-05
1700.5	9.806903e-04	2.392435e-05	9.292612e-04	2.178057e-05	9.106592e-04	3.054178e-05
1750.5	9.137571e-04	2.225373e-05	8.562312e-04	2.042551e-05	8.450084e-04	2.813911e-05
1800.5	7.794174e-04	2.059300e-05	7.222337e-04	1.934622e-05	7.343899e-04	2.492890e-05
1850.5	6.861516e-04	1.814955e-05	6.415846e-04	1.591141e-05	6.227713e-04	2.069930e-05
1900.5	5.524913e-04	1.506905e-05	4.801802e-04	1.374954e-05	4.772716e-04	1.851403e-05
1950.5	5.115739e-04	1.392951e-05	4.536233e-04	1.297218e-05	4.460524e-04	1.718666e-05
2000.5	4.583948e-04	1.380306e-05	4.216013e-04	1.185523e-05	3.863144e-04	1.578021e-05
2075.5	4.125159e-04	9.113365e-06	3.642227e-04	7.520607e-06	3.417896e-04	9.288682e-06
2175.5	3.116196e-04	7.186919e-06	2.589458e-04	6.002841e-06	2.527755e-04	7.347940e-06
2275.5	2.390484e-04	6.502153e-06	1.875516e-04	5.079943e-06	1.758519e-04	5.949961e-06
2375.5	2.119784e-04	5.787565e-06	1.726032e-04	4.480870e-06	1.548454e-04	5.385326e-06
2475.5	1.811799e-04	5.442640e-06	1.304234e-04	3.796934e-06	1.148381e-04	4.393111e-06
2625.5	1.544664e-04	3.602674e-06	1.052986e-04	2.341197e-06	8.927360e-05	2.558799e-06
2825.5	1.325892e-04	3.183919e-06	7.751107e-05	1.955543e-06	6.256167e-05	1.986034e-06
3025.5	1.108576e-04	3.153087e-06	6.183831e-05	1.746608e-06	4.473393e-05	1.701530e-06
3325.5	1.018794e-04	2.309890e-06	5.273388e-05	1.172995e-06	3.437421e-05	1.030008e-06
3725.5	9.366883e-05	2.358165e-06	4.283983e-05	1.101453e-06	2.770930e-05	8.505837e-07
4125.5	8.688739e-05	2.582523e-06	4.009507e-05	1.090797e-06	2.595529e-05	8.239296e-07
4525.5	8.608663e-05	3.163437e-06	4.060638e-05	1.273412e-06	2.557768e-05	8.826302e-07
4925.5	9.036382e-05	3.658268e-06	3.891113e-05	1.276922e-06	2.266710e-05	9.152718e-07
5325.5	8.673264e-05	4.041951e-06	3.967756e-05	1.436697e-06	2.208144e-05	8.831890e-07
5725.5	7.977958e-05	5.371941e-06	3.680147e-05	1.635270e-06	2.347491e-05	9.642562e-07
6125.5	8.710862e-05	6.673845e-06	3.786366e-05	1.811523e-06	2.311222e-05	1.015959e-06
6725.5	7.190396e-05	7.363455e-06	3.411074e-05	1.840427e-06	2.226598e-05	8.553353e-07
7525.5	5.970799e-05	1.539020e-05	3.594984e-05	2.965929e-06	2.153854e-05	1.155249e-06
